team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
Alavés,Antonio Sivera,ESP,GK,20,1996,1,1,63,0.7,,,1,1,,,,1,,,,,,,,La Liga,2017-2018
Alavés,Fernando Pacheco,ESP,GK,25,1992,38,37,3357,37.3,50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,1,22.2,La Liga,2017-2018
Athletic Club,Iago Herrerín,ESP,GK,29,1988,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3,La Liga,2017-2018
Athletic Club,Kepa Arrizabalaga,ESP,GK,22,1994,30,30,2700,30.0,43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,0,66.7,La Liga,2017-2018
Atlético Madrid,Axel Werner,ARG,GK,21,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,La Liga,2017-2018
Atlético Madrid,Jan Oblak,SVN,GK,24,1993,37,37,3330,37.0,22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75.0,La Liga,2017-2018
Barcelona,Jasper Cillessen,NED,GK,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,La Liga,2017-2018
Barcelona,Marc-André ter Stegen,GER,GK,25,1992,37,37,3330,37.0,28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,0.0,La Liga,2017-2018
Betis,Antonio Adán,ESP,GK,30,1987,30,30,2700,30.0,53,1.77,132,82,62.1,14,4,12,9,30.0,4,3,1,0,25.0,La Liga,2017-2018
Betis,Dani Giménez,ESP,GK,34,1983,4,4,309,3.4,0,0.00,8,8,100.0,3,1,0,3,75.0,0,0,0,0,,La Liga,2017-2018
Betis,Pedro López,ESP,GK,22,1995,5,4,411,4.6,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,,La Liga,2017-2018
Celta Vigo,Brais Méndez,ESP,"MF,FW",20,1997,1,0,,10.5,,,,,,,,,,,,,,,,La Liga,2017-2018
Celta Vigo,Rubén Blanco,ESP,GK,22,1995,22,22,1941,21.6,31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0,La Liga,2017-2018
