Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Robert Lewandowski,Bayern,34, FW  ,28(1),2463,0.5,0.1,1.4,0,0.4,0.4,0,0,8.07
Erling Haaland,Borussia Dortmund,22, FW  ,27(1),2410,0.3,0.1,0.7,0,0.6,0.1,0.1,0,7.63
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",25(2),2197,1.5,1.3,0.7,0,0.7,1.6,0.2,0,7.57
Jadon Sancho,Borussia Dortmund,22, AM(CLR)  ,24(2),2069,0.7,0.6,0,0,0.2,0.3,0,0,7.54
André Silva,Eintracht Frankfurt,27, FW  ,32,2771,0.3,0.1,0.6,0,0.5,0.2,0,0,7.51
Thomas Müller,Bayern,33," M(CLR),FW  ",31(1),2683,1.5,0.7,0.7,0,0.5,1.5,0.1,0,7.51
Matheus Cunha,Hertha Berlin,23," AM(CL),FW  ",25(2),2156,1.3,1.1,1.7,0,0.3,1.3,0.1,0,7.33
Wout Weghorst,Wolfsburg,30, FW  ,33(1),2950,0.4,0.1,0.9,0,0.8,0.5,0.1,0,7.31
Maximilian Arnold,Wolfsburg,28, M(CR)  ,30,2591,1.6,1.6,1.3,0,1.8,1,0.1,0,7.30
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  ",29(1),2536,1.8,0.9,0.7,0,0.7,1.1,0.2,0,7.29
Christopher Nkunku,RBL,25," M(CLR),FW  ",19(9),1895,0.6,0.3,1.4,0,0.5,0.4,0,0,7.26
Mats Hummels,Borussia Dortmund,34, D(C)  ,32(1),2817,1.8,2.2,0.8,0.4,3.7,0.5,0.7,0,7.26
Leon Bailey,Leverkusen,25," M(CLR),FW  ",25(5),2148,0.5,0.3,0.8,0,0.1,0.4,0,0,7.26
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  ",25(2),2224,1.1,1,0.4,0.2,0.9,0.6,0.1,0,7.24
Andrej Kramaric,Hoffenheim,31," AM(CLR),FW  ",26(2),2386,0.3,0.3,0.1,0,0.2,0.2,0,0,7.23
Leon Goretzka,Bayern,28, M(CR)  ,18(6),1707,1.5,1.8,1.1,0.1,0.4,1,0.1,0,7.20
Serge Gnabry,Bayern,27," AM(CLR),FW  ",20(7),1654,1.4,1,0.8,0,0.1,0.7,0,0,7.18
Willi Orbán,RBL,30, D(C)  ,25(4),2361,1.4,1.4,0.6,0.9,2.4,0.5,0.7,0,7.17
Silas Mvumpa,Stuttgart,24," M(LR),FW  ",24(1),1931,1.9,0.9,1.3,0,0.4,0.9,0,0,7.13
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",21(3),1825,1.1,1.1,0.8,0,0.3,1.8,0.1,0,7.13
Kingsley Coman,Bayern,26," M(LR),FW  ",23(6),1767,0.5,0.1,0.4,0,0.1,0.7,0,0,7.11
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",27(5),2295,1,0.4,0.8,0,0.4,0.8,0.1,0,7.10
Angeliño,RBL,26," D(L),M(L)  ",24(2),2165,1.2,1.2,0.8,0,1.3,0.4,0,0,7.09
Vincenzo Grifo,Freiburg,29, AM(CL)  ,27(4),2328,0.6,0.9,0.4,0,0.5,0.6,0,0,7.07
Emre Can,Borussia Dortmund,29," D(CLR),DMC  ",23(5),2134,1.5,1.7,1.3,0.1,1.8,0.6,0.4,0,7.06
Daniel Caligiuri,Augsburg,35," D(R),M(CLR),FW  ",31(2),2673,2.2,1.2,1.1,0.1,0.9,1.9,0.2,0,7.05
Alphonso Davies,Bayern,22," D(L),M(LR)  ",22(1),1769,1.7,1.2,0.6,0,1.2,0.5,0,0,7.04
Borna Sosa,Stuttgart,25," D(L),M(L)  ",25(1),2047,0.5,1.2,0.7,0,2.5,0.7,0.2,0,7.04
Wataru Endo,Stuttgart,30, DMC  ,33,2957,2,1.5,1.4,0.1,1.7,1.3,0.4,0,7.04
Maxence Lacroix,Wolfsburg,22, D(C)  ,29(1),2591,1.6,2.2,0.8,0.6,4.5,0.7,0.7,0,7.03
Christopher Trimmel,Union Berlin,36," D(CR),M(R)  ",30(1),2580,1.6,1.6,1,0.1,2.9,0.8,0.2,0,7.03
Sasa Kalajdzic,Stuttgart,25, FW  ,23(10),2140,0.5,0.3,0.9,0,0.6,0.5,0,0,7.02
Lars Stindl,Borussia M.Gladbach,34," M(CLR),FW  ",23(7),1967,0.8,0.4,1.4,0,0.5,0.8,0.1,0,7.01
Marcel Sabitzer,RBL,28," M(CLR),FW  ",24(3),2031,1.1,1.3,0.8,0,1,0.9,0.1,0,7.00
Martin Hinteregger,Eintracht Frankfurt,30, D(C)  ,29,2528,2.7,1.5,1.1,0.7,3.1,0.9,0.4,1,7.00
Nico Elvedi,Borussia M.Gladbach,26, D(CLR)  ,29,2538,1.7,2.2,0.4,0.7,4.1,0.4,0.8,0,7.00
Kevin Mbabu,Wolfsburg,27," D(R),M(R)  ",19(3),1646,2.3,1,2,0,2.5,0.5,0.3,0,7.00
Max Kruse,Union Berlin,34," M(CLR),FW  ",19(3),1637,0.3,0.1,0.2,0,0.1,0.3,0,0,6.99
Marcus Thuram,Borussia M.Gladbach,25," AM(L),FW  ",20(9),1740,0.8,0.5,1.3,0,0.3,0.4,0.1,0,6.99
Lucas Hernández,Bayern,27, D(CL)  ,18(5),1600,1.8,0.8,0.7,0.7,1.4,0.6,0.3,0,6.98
Ridle Baku,Wolfsburg,24," D(R),M(CR)  ",31(1),2688,1.6,1.3,1,0.1,0.8,1,0.1,0,6.98
Xaver Schlager,Wolfsburg,25, M(C)  ,30(2),2640,2.1,1.7,1.4,0,1.1,1.4,0.2,0,6.97
Niklas Süle,Bayern,27, D(CR)  ,16(4),1503,1.6,1.1,0.5,0.5,1.7,0.4,0.6,0,6.97
Edmond Tapsoba,Leverkusen,24, D(C)  ,29(2),2651,1.7,1.5,1.4,0.6,2.9,0.8,0.9,1,6.96
Ihlas Bebou,Hoffenheim,28," M(CLR),FW  ",23(9),2204,0.8,0.5,0.8,0,0.5,0.2,0.1,0,6.96
Dani Olmo,RBL,24," AM(CLR),FW  ",26(6),2207,0.7,0.4,0.6,0,0.7,0.6,0,0,6.95
John Brooks,Wolfsburg,30, D(C)  ,31(1),2774,1.5,1.7,0.9,0.5,4,0.8,0.3,1,6.94
Florian Neuhaus,Borussia M.Gladbach,25, M(C)  ,30(3),2632,1.5,1.5,0.7,0.1,0.6,1.3,0.2,0,6.94
Marvin Friedrich,Union Berlin,27, D(C)  ,34,3060,1.4,1.5,0.7,0.3,2.9,0.4,0.5,0,6.94
Leroy Sané,Bayern,27," M(CLR),FW  ",18(14),1807,0.6,0.3,0.4,0,0.2,0.5,0,0,6.94
Moussa Diaby,Leverkusen,23," M(CLR),FW  ",28(4),2394,0.3,0.4,0.8,0,0.1,0.4,0,0,6.93
Felix Uduokhai,Augsburg,25, D(C)  ,29,2610,1.1,1.9,0.8,1,5.4,0.3,0.9,1,6.93
Daichi Kamada,Eintracht Frankfurt,26," AM(CLR),FW  ",28(4),2376,1.5,0.4,1.3,0,0.7,1,0,0,6.93
Amos Pieper,Arminia Bielefeld,25, D(C)  ,30,2684,1.9,2.2,0.7,0.9,5.3,0.4,1.2,0,6.92
Konstantinos Mavropanos,Stuttgart,25, D(CR)  ,19(2),1474,2,2.8,1.1,0.2,3,0.9,0.5,0,6.91
Christopher Lenz,Union Berlin,28," D(L),M(L)  ",27,2259,2.7,1.3,1,0.2,1.6,1.3,0.2,0,6.91
Matthias Ginter,Borussia M.Gladbach,29," D(CR),DMC  ",34,3060,0.8,1.5,0.3,0.6,3.5,0.3,0.9,0,6.91
Christoph Baumgartner,Hoffenheim,23," AM(CLR),FW  ",28(3),2380,1.4,0.8,2.3,0,0.6,1.2,0.3,0,6.91
Renato Steffen,Wolfsburg,31, M(CLR)  ,19(2),1578,1.1,1,1.5,0,0.6,0.5,0.1,0,6.91
Nicolas Höfler,Freiburg,33," D(C),DMC  ",30(1),2730,1.7,2.1,2.3,0,1.1,1.2,0.3,0,6.91
Paulo Otávio,Wolfsburg,28," D(L),M(L)  ",19(4),1738,2.6,1.8,1.2,0.2,2,1.2,0.3,0,6.91
Orel Mangala,Stuttgart,24, M(C)  ,24,2110,1.1,1.1,1.4,0,1,0.5,0.4,0,6.90
Marc Oliver Kempf,Stuttgart,28, D(C)  ,32,2734,1.5,2.1,1.1,0.3,2.9,0.6,0.8,1,6.89
Benjamin Pavard,Bayern,26," D(CLR),M(R)  ",22(2),1944,1.8,2,0.8,0.4,1,0.7,0.2,0,6.89
Florian Wirtz,Leverkusen,19," AM(C),FW  ",25(4),2230,1.2,0.3,0.9,0,0.2,0.9,0,0,6.89
Ellyes Skhiri,FC Koln,27, DMC  ,32,2790,2.6,2.6,1.3,0.1,1,1,0.4,0,6.88
Robert Andrich,Union Berlin,28, M(C)  ,29,2529,1.8,1.8,1.7,0,1.1,1,0.2,1,6.88
Ondrej Duda,FC Koln,28," AM(C),FW  ",32,2556,1.1,0.6,1.7,0,0.6,1,0.1,0,6.88
Dayot Upamecano,RBL,24, D(C)  ,27(2),2333,1.3,1.1,1.2,0.7,2.4,0.2,0.5,0,6.87
Ludwig Augustinsson,Werder Bremen,28," D(L),M(L)  ",21(2),1961,1.6,0.9,0.7,0.1,2.3,0.5,0.3,1,6.87
Ritsu Doan,Arminia Bielefeld,24," AM(CLR),FW  ",33(1),2786,1.6,0.9,0.9,0,0.2,1,0,0,6.86
Amine Harit,Schalke,25," AM(CLR),FW  ",25(3),2111,0.8,0.6,1,0,0.2,0.5,0,0,6.86
Manuel Akanji,Borussia Dortmund,27, D(CR)  ,26(2),2350,1.5,1.8,0.8,0.4,2.5,0.4,0.4,0,6.86
Diadié Samassékou,Hoffenheim,27, DMC  ,31,2576,2.3,2.5,1.4,0.2,1.6,1.8,0.4,0,6.86
Fabian Klos,Arminia Bielefeld,35, FW  ,32(2),2725,0.7,0.1,1.4,0,0.8,0.6,0.2,0,6.85
Marcel Halstenberg,RBL,31," D(CL),M(L)  ",19(5),1653,1.2,0.7,0.7,0.4,1.4,0.9,0.1,0,6.84
