Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Robert Lewandowski,Bayern,34, FW  , FW  ,28(1),41,7,4.7,1.1,0.8,1,0.7,1.5,2.4,8.07
Erling Haaland,Borussia Dortmund,22, FW  , FW  ,27(1),27,6,3.3,1,1.1,0.8,0.6,0.4,1.9,7.63
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  "," D(CR),DMC,M(R)  ",25(2),4,10,1.4,2.4,1.1,1.6,0,0.7,1.5,7.57
Jadon Sancho,Borussia Dortmund,22, AM(CLR)  , AM(CLR)  ,24(2),8,11,2,2.6,3,0.8,0.3,1.3,2.8,7.54
André Silva,Eintracht Frankfurt,27, FW  , FW  ,32,28,5,3.7,1,0.8,1.1,0.9,1.5,2.7,7.51
Thomas Müller,Bayern,33," M(CLR),FW  "," M(CLR),FW  ",31(1),11,18,1.6,2.9,0.8,0.7,0.4,1.3,2.5,7.51
Matheus Cunha,Hertha Berlin,23," AM(CL),FW  "," AM(CL),FW  ",25(2),7,4,2.6,1.8,3,2.8,0.2,2.5,2.7,7.33
Wout Weghorst,Wolfsburg,30, FW  , FW  ,33(1),20,8,2.7,1.3,0.5,0.8,1.1,0.8,2.1,7.31
Maximilian Arnold,Wolfsburg,28, M(CR)  , M(CR)  ,30,3,6,1.8,1.6,0.6,2.1,0,0.7,1,7.30
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  "," M(LR),FW  ",29(1),4,14,1.7,3,0.8,0.7,0.1,1.2,2,7.29
Christopher Nkunku,RBL,25," M(CLR),FW  "," M(CLR),FW  ",19(9),6,6,2,2.5,1.3,1.8,0.6,1.3,2,7.26
Mats Hummels,Borussia Dortmund,34, D(C)  , D(C)  ,32(1),5,0,0.9,0.4,0.2,0.5,0.2,0.1,0.3,7.26
Leon Bailey,Leverkusen,25," M(CLR),FW  "," M(CLR),FW  ",25(5),9,8,1.9,1.6,2.5,1.4,0.5,1,2.4,7.26
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  "," D(L),M(CL)  ",25(2),5,10,1.4,2,1.2,0.4,0.1,0.7,1.5,7.24
Andrej Kramaric,Hoffenheim,31," AM(CLR),FW  "," AM(CLR),FW  ",26(2),20,5,3.4,1.4,0.9,1.5,0.3,1.4,2,7.23
Leon Goretzka,Bayern,28, M(CR)  , M(CR)  ,18(6),5,5,1.8,0.8,0.5,0.7,0,0.3,1.1,7.20
Serge Gnabry,Bayern,27," AM(CLR),FW  "," AM(CLR),FW  ",20(7),10,2,2.2,1.4,0.9,0.8,0.2,0.9,1.9,7.18
Willi Orbán,RBL,30, D(C)  , D(C)  ,25(4),4,1,0.8,0.3,0.3,0.5,0.1,0.3,0.3,7.17
Silas Mvumpa,Stuttgart,24," M(LR),FW  "," M(LR),FW  ",24(1),11,4,1.8,0.9,1.9,1.6,0.5,1.7,2.7,7.13
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  "," D(R),M(CLR)  ",21(3),6,11,1,2.4,0.7,0.8,0.4,0.8,1.3,7.13
