Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Jamal Musiala,Bayern,20, M(CL)  ,19(3),1569,8,1.7,31.5,83.7,0,0.3,0,7.50
Jude Bellingham,Borussia Dortmund,19, M(CLR)  ,21(1),1896,4,1,48.8,81.6,0.2,3.7,0.2,7.48
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",21(1),1859,4,2.2,75.8,89.6,1.9,5.2,0.3,7.44
Niclas Füllkrug,Werder Bremen,30, FW  ,22,1939,3,1.2,31.4,63.2,0.1,1.7,0,7.40
Dominik Szoboszlai,RBL,22, AM(CLR)  ,19(2),1631,8,2.1,43.3,83.2,1.3,2.2,0.4,7.35
Vincenzo Grifo,Freiburg,29, AM(CL)  ,19(3),1556,4,1.8,35.7,78.9,0.9,2.3,0.2,7.30
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",20,1772,7,3.2,40.2,79.5,2.6,1.2,0.2,7.29
Randal Kolo Muani,Eintracht Frankfurt,24," AM(R),FW  ",21(1),1793,10,1,18.8,65.6,0.1,0.4,0.1,7.26
Christopher Nkunku,RBL,25," M(CLR),FW  ",15(3),1419,1,1.7,25.4,81.6,0.3,1.4,0.1,7.25
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  ",20(3),1766,4,2.3,37.3,83.4,1.6,1.4,0.1,7.25
Thomas Müller,Bayern,33," M(CLR),FW  ",13(3),999,7,1.5,30.1,80.1,0.1,0.6,0.1,7.24
Eric Choupo-Moting,Bayern,33," M(CLR),FW  ",13(4),1029,2,0.8,15.5,77.2,0.1,0.3,0.1,7.23
Alphonso Davies,Bayern,22," D(L),M(LR)  ",19(1),1672,4,1.9,56.9,87.3,0.4,1.5,0.1,7.20
Michael Gregoritsch,Freiburg,28," AM(CR),FW  ",21(1),1633,3,0.9,17.4,56.8,0,0.2,0,7.20
