Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Jamal Musiala,Bayern,20, M(CL)  ,19(3),1569,11,8,1,0,2.2,83.7,0.5,4,7.50
Jude Bellingham,Borussia Dortmund,19, M(CLR)  ,21(1),1896,4,4,6,0,2,81.6,1.3,6,7.48
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",21(1),1859,3,4,3,1,1.1,89.6,0.5,2,7.44
Niclas Füllkrug,Werder Bremen,30, FW  ,22,1939,14,3,4,0,3.1,63.2,5.4,5,7.40
Dominik Szoboszlai,RBL,22, AM(CLR)  ,19(2),1631,4,8,1,1,1.5,83.2,0.2,3,7.35
Vincenzo Grifo,Freiburg,29, AM(CL)  ,19(3),1556,12,4,1,0,2,78.9,0.4,5,7.30
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",20,1772,8,7,1,0,1.5,79.5,0.5,4,7.29
Randal Kolo Muani,Eintracht Frankfurt,24," AM(R),FW  ",21(1),1793,11,10,1,1,2,65.6,2,5,7.26
Christopher Nkunku,RBL,25," M(CLR),FW  ",15(3),1419,12,1,2,0,2.7,81.6,0.7,5,7.25
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  ",20(3),1766,8,4,2,0,1.2,83.4,0.3,3,7.25
Thomas Müller,Bayern,33," M(CLR),FW  ",13(3),999,4,7,0,0,1.7,80.1,1.6,0,7.24
Eric Choupo-Moting,Bayern,33," M(CLR),FW  ",13(4),1029,10,2,0,0,1.6,77.2,1.1,3,7.23
Alphonso Davies,Bayern,22," D(L),M(LR)  ",19(1),1672,0,4,0,0,0.6,87.3,0.2,2,7.20
Michael Gregoritsch,Freiburg,28," AM(CR),FW  ",21(1),1633,8,3,4,0,2.5,56.8,4.7,3,7.20
Nico Schlotterbeck,Borussia Dortmund,23, D(C)  ,23,2005,3,4,3,0,0.7,86.3,2.5,0,7.17
Maximilian Arnold,Wolfsburg,28, M(CR)  ,23,2004,5,2,5,0,1.2,81.7,1,2,7.13
Benjamin Pavard,Bayern,26," D(CLR),M(R)  ",17(3),1566,1,1,3,0,0.9,89.3,1.8,1,7.13
Leroy Sané,Bayern,27," M(CLR),FW  ",13(8),1311,6,3,4,0,2.5,82.6,0.2,0,7.13
Willi Orbán,RBL,30, D(C)  ,22,1961,3,0,2,0,0.9,88.8,3.4,0,7.12
Kingsley Coman,Bayern,26," M(LR),FW  ",9(7),880,5,4,0,1,1.8,85.9,0.4,3,7.11
Serge Gnabry,Bayern,27," AM(CLR),FW  ",14(9),1206,9,4,0,0,2.3,83.9,0.1,3,7.11
Moussa Diaby,Leverkusen,23," M(CLR),FW  ",22,1798,8,4,2,0,2.1,80.5,0.1,2,7.11
Marcus Thuram,Borussia M.Gladbach,25," AM(L),FW  ",20(2),1835,11,3,3,0,3.1,74.1,1.3,3,7.11
Jeremie Frimpong,Leverkusen,22," D(R),M(R)  ",21(2),1788,6,5,3,0,1.1,79.6,0.4,1,7.11
Ellyes Skhiri,FC Koln,27, DMC  ,22,1957,5,1,4,0,1,87.9,1.2,2,7.11
Danilho Doekhi,Union Berlin,24, D(C)  ,14,1255,4,1,0,0,0.5,80.2,2.6,3,7.10
Konstantinos Mavropanos,Stuttgart,25, D(CR)  ,19(1),1690,2,1,6,0,1.8,83.1,2.6,1,7.09
Florian Kainz,FC Koln,30, AM(CLR)  ,20(1),1551,5,6,2,1,1.8,70.5,0.4,2,7.07
