Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Gabriel Jesus,Arsenal,25," AM(LR),FW  "," AM(LR),FW  ",14,5,5,3.6,1.6,2.1,2.7,0.6,2.9,3.9,7.61
Kieran Trippier,Newcastle,32," D(LR),M(R)  "," D(LR),M(R)  ",24,1,4,0.4,3,0.5,0.9,0.3,0.2,0.7,7.61
Erling Haaland,Man City,22, FW  , FW  ,24(1),27,5,3.4,0.8,0.2,0.7,0.2,0.9,1.3,7.57
Kevin De Bruyne,Man City,31," M(CLR),FW  "," M(CLR),FW  ",22(2),4,12,2.4,3.3,1,0.8,0.1,1,1.5,7.56
Bukayo Saka,Arsenal,21," D(L),M(CLR)  "," D(L),M(CLR)  ",26,10,9,2.5,2.2,1.7,1.7,0.2,1.6,2.2,7.45
Harry Kane,Tottenham,29," AM(C),FW  "," AM(C),FW  ",26,18,2,3.5,1.7,1.2,1.5,0.4,1.9,2,7.45
Rodri,Man City,26," D(C),DMC  "," D(C),DMC  ",25,2,5,1.6,1.2,0.6,0.5,0.1,0.6,0.6,7.39
Ivan Toney,Brentford,26, FW  , FW  ,22,15,3,3,0.9,0.4,2.3,0.9,1.2,3.3,7.36
Bruno Fernandes,Man Utd,28, M(CLR)  , M(CLR)  ,24,5,6,2.2,2.9,0.8,1.2,0.5,1.4,1.1,7.36
Martin Ødegaard,Arsenal,24, AM(CR)  , AM(CR)  ,25,9,6,2.8,2.4,1.3,0.7,0,1.5,1.4,7.34
James Maddison,Leicester,26, AM(CLR)  , AM(CLR)  ,17(1),9,5,2.9,2.3,0.8,2.3,0.1,0.9,1.5,7.29
Solly March,Brighton,28, M(CLR)  , M(CLR)  ,23,5,4,2.3,1.6,1.6,1.3,0.4,1.1,1.7,7.26
Rodrigo Bentancur,Tottenham,25, M(C)  , M(C)  ,17(1),5,2,0.8,0.6,1.2,0.4,0,0.9,1.2,7.22
Bruno Guimarães,Newcastle,25, DMC  , DMC  ,18,3,3,0.8,1,1.3,2.4,0,2,1.2,7.21
Jack Grealish,Man City,27," AM(CL),FW  "," AM(CL),FW  ",16(4),3,4,1.3,1.8,1.5,2.9,0.1,1.1,1.3,7.20
Thomas Partey,Arsenal,29," D(R),M(CR)  "," D(R),M(CR)  ",19(2),3,0,1.1,1,0.9,0.6,0,0.7,1.1,7.20
Gabriel Martinelli,Arsenal,21," AM(L),FW  "," AM(L),FW  ",25(1),11,2,2.4,1.6,1.5,1.1,0.3,1.7,2.5,7.19
Joelinton,Newcastle,26," AM(CLR),FW  "," AM(CLR),FW  ",21(1),2,1,1.5,0.9,1.5,1,0,1.9,2.4,7.17
Aleksandar Mitrovic,Fulham,28, FW  , FW  ,20,11,1,4.2,0.8,1.1,1.7,0.7,2.4,2.9,7.16
Phil Foden,Man City,22," AM(CLR),FW  "," AM(CLR),FW  ",16(7),9,4,1.5,1.4,1,0.8,0.1,1,1.2,7.16
Casemiro,Man Utd,31, DMC  , DMC  ,14(4),2,3,0.9,0.9,0.3,1.1,0.1,0.6,0.8,7.14
Mohamed Salah,Liverpool,30," AM(CLR),FW  "," AM(CLR),FW  ",25,11,7,3.1,1.9,1.2,1,0.6,2.2,3.1,7.11
Fabian Schär,Newcastle,31, D(C)  , D(C)  ,22,1,0,1.6,0.5,0.1,0.7,0.2,0.2,0.5,7.10
Pierre-Emile Højbjerg,Tottenham,27, M(C)  , M(C)  ,25,4,3,1,0.8,0.7,1,0,1.3,1.3,7.09
Marcus Rashford,Man Utd,25," AM(CLR),FW  "," AM(CLR),FW  ",23(2),14,3,2.7,0.7,1.3,0.7,0.4,1.2,2.4,7.08
Alexis Mac Allister,Brighton,24," M(CL),FW  "," M(CL),FW  ",19(1),6,1,2.3,1.2,1,1.4,0,1.1,1,7.07
Kaoru Mitoma,Brighton,25, M(L)  , M(L)  ,11(7),6,1,1.1,0.9,1.8,0.7,0.2,0.8,1.7,7.07
Ethan Pinnock,Brentford,29, D(C)  , D(C)  ,16,1,0,0.5,0.3,0.1,0.3,0,0.4,0.1,7.06
Diogo Dalot,Man Utd,23," D(LR),M(R)  "," D(LR),M(R)  ",17(1),0,2,0.9,1.4,1,0.2,0,0.3,0.8,7.05
João Cancelo,Man City,28," D(LR),M(R)  "," D(LR),M(R)  ",16(1),2,1,1,0.7,1.8,1.1,0.2,0.8,1.1,7.04
David Raya,Brentford,27, GK  , GK  ,24,0,0,0,0.1,0,0.1,0,0,0,7.04
Kenny Tete,Fulham,27," D(CR),M(R)  "," D(CR),M(R)  ",19(1),0,4,0.5,0.9,0.6,1.5,0,0.9,0.8,7.04
Bernd Leno,Fulham,31, GK  , GK  ,24,0,0,0,0,0,0,0,0,0,7.04
Darwin Núñez,Liverpool,23," AM(CL),FW  "," AM(CL),FW  ",15(4),8,3,3.9,1.2,0.7,0.7,0.7,0.9,1.7,7.03
Thiago Silva,Chelsea,38, D(C)  , D(C)  ,20(1),0,2,0.5,0.2,0.1,0.5,0,0,0.2,7.03
João Palhinha,Fulham,27, DMC  , DMC  ,24,3,0,1.3,0.1,0.3,1.4,0,0.7,0.9,7.03
Rúben Neves,Wolves,25, DMC  , DMC  ,25,5,0,1.9,0.8,0.5,0.5,0,0.4,0.6,7.02
Kepa Arrizabalaga,Chelsea,28, GK  , GK  ,17,0,0,0,0,0,0.3,0,0,0.1,7.02
Christian Nørgaard,Brentford,28," D(C),DMC  "," D(C),DMC  ",13(1),1,2,0.9,0.6,0.4,0.8,0,0.5,0.6,7.02
Miguel Almirón,Newcastle,29," AM(CLR),FW  "," AM(CLR),FW  ",24,10,1,2,0.7,1,1.1,0.4,0.8,1.4,7.01
Ben Mee,Brentford,33, D(CL)  , D(CL)  ,23,3,1,0.7,0.1,0.1,0.5,0,0,0.6,7.01
Alisson,Liverpool,30, GK  , GK  ,25,0,1,0,0,0,0.2,0,0,0,6.99
Leandro Trossard,Brighton,28," M(CLR),FW  "," M(CLR),FW  ",16,7,2,2.4,1.4,0.9,0.8,0.3,1.6,2.4,6.99
Moisés Caicedo,Brighton,21, DMC  , DMC  ,21(1),1,1,0.7,1.1,0.6,1.3,0,0.8,1.1,6.97
Pascal Groß,Brighton,31," D(R),M(CR),FW  "," D(R),M(CR),FW  ",23,6,4,1,2.1,0.3,0.5,0.4,0.5,1.1,6.97
Roberto Firmino,Liverpool,31," M(CLR),FW  "," M(CLR),FW  ",11(7),8,4,1.9,1.1,0.6,0.3,0.2,1.1,1.8,6.97
Ilkay Gündogan,Man City,32, M(C)  , M(C)  ,19(4),3,3,1.7,1.3,0.3,0.7,0.2,0.9,0.7,6.96
Thiago,Liverpool,31, M(C)  , M(C)  ,14,0,0,0.6,1.2,1.4,1.8,0,1.3,0.8,6.96
Bernardo Silva,Man City,28," M(CLR),FW  "," M(CLR),FW  ",19(5),4,5,0.9,1,1,0.5,0.1,1.1,1,6.96
James Ward-Prowse,Southampton,28, M(CR)  , M(CR)  ,25,6,2,1.2,2.1,0.2,0.6,0,0.6,0.8,6.96
Oleksandr Zinchenko,Arsenal,26," D(L),M(CLR)  "," D(L),M(CLR)  ",18(1),1,2,1.2,0.9,0.6,0.5,0.1,0.6,0.8,6.96
Declan Rice,West Ham,24," D(C),DMC  "," D(C),DMC  ",25,2,2,1.1,1.2,0.8,0.2,0,0.8,0.7,6.94
Riyad Mahrez,Man City,32," AM(CLR),FW  "," AM(CLR),FW  ",12(7),5,4,1.5,1.3,0.7,1.3,0.2,0.5,1.1,6.92
Marcus Tavernier,Bournemouth,23, M(CLR)  , M(CLR)  ,16(1),3,4,1.6,0.9,1.9,1.5,0.2,1.8,2.4,6.92
Serge Aurier,Nottingham Forest,30," D(CLR),M(R)  "," D(CLR),M(R)  ",14(2),1,0,0.4,0.6,0.6,1.1,0,0.9,1.4,6.92
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  "," D(R),M(R)  ",22(3),1,2,1,1.8,0.5,0.1,0.2,0.6,1.1,6.92
James Tarkowski,Everton,30, D(C)  , D(C)  ,26,1,0,0.8,0.4,0.2,0.6,0,0.2,0.6,6.91
Virgil van Dijk,Liverpool,31, D(C)  , D(C)  ,21,3,0,1,0.1,0.1,0.1,0,0,0.3,6.91
Granit Xhaka,Arsenal,30," D(L),M(C)  "," D(L),M(C)  ",25(1),3,5,1,1.4,0.3,1.2,0.1,0.7,1,6.91
Pascal Struijk,Leeds,23," D(CL),DMC  "," D(CL),DMC  ",20,2,1,0.7,0.6,0.5,0.6,0,0.5,1.2,6.90
