Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Kevin De Bruyne,Man City,31," M(CLR),FW  ",25(5),2205,8,2.9,45.3,82.5,1,2.4,0.3,7.63
Mohamed Salah,Liverpool,30," AM(CLR),FW  ",30(5),2763,13,1.8,30.8,79.9,0.2,0.5,0.3,7.54
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  ",32,2854,12,2.8,67.3,78.1,2.6,6.3,0.3,7.52
Son Heung-Min,Tottenham,30," M(CLR),FW  ",35,3021,7,2.1,29,86.6,1.2,0.5,0.1,7.51
Harry Kane,Tottenham,29," AM(C),FW  ",36(1),3232,9,1.4,23.6,70.3,0.2,1.8,0.3,7.45
Rodri,Man City,26," D(C),DMC  ",33,2887,2,0.9,86.8,91.8,0.1,5.5,0.1,7.43
João Cancelo,Man City,28," D(LR),M(R)  ",36,3228,7,1.1,82,85.3,0.6,3.9,0.1,7.42
Joël Matip,Liverpool,31, D(C)  ,31,2790,3,0.4,74.8,88.5,0,3.5,0.1,7.36
Sadio Mané,Liverpool,30," AM(CLR),FW  ",32(2),2825,2,1.2,30.5,77.3,0.3,0.7,0.1,7.30
Phil Foden,Man City,22," AM(CLR),FW  ",24(4),2133,5,1.4,34.3,87.4,1.3,0.7,0.1,7.29
Ivan Toney,Brentford,26, FW  ,32(1),2908,5,1.3,22.2,58.9,0.1,0.4,0.3,7.28
Bernardo Silva,Man City,28," M(CLR),FW  ",33(2),2861,4,1.7,53.9,89.6,0.2,1.2,0.1,7.27
Reece James,Chelsea,23," D(CR),DMC,M(R)  ",22(4),1868,9,1.8,53,89.6,0.9,1.7,0,7.24
Ilkay Gündogan,Man City,32, M(C)  ,20(7),1856,4,1.4,47,91.2,0.6,2.3,0.2,7.24
Andrew Robertson,Liverpool,28," D(L),M(L)  ",29,2541,10,1.9,66.5,85.2,1.6,2,0,7.23
Raheem Sterling,Man City,28," M(CLR),FW  ",23(7),2127,5,1.4,27.3,85.4,0.3,0.2,0,7.20
Gabriel Jesus,Man City,25," AM(LR),FW  ",21(7),1880,8,1.4,26.4,84.8,0.1,0.4,0.1,7.19
Mason Mount,Chelsea,24, M(CLR)  ,27(5),2365,10,1.8,34.8,85.4,1.3,0.7,0.2,7.19
Virgil van Dijk,Liverpool,31, D(C)  ,34,3060,1,0.3,77.8,89.5,0,4.9,0,7.18
John McGinn,Aston Villa,28, M(CR)  ,35,3092,4,1.5,35.5,79.5,0.9,3.3,0.2,7.17
Jack Grealish,Man City,27," AM(CL),FW  ",22(4),1917,3,2,35.7,88.4,0.3,0.5,0.1,7.16
Pierre-Emile Højbjerg,Tottenham,27, M(C)  ,36,3199,2,0.7,70.3,89.7,0.1,3.7,0.1,7.16
Jarrod Bowen,West Ham,26," AM(CLR),FW  ",34(2),2993,10,1.1,19.8,76.2,0.8,1,0.1,7.14
Cristiano Ronaldo,Man Utd,38," M(L),FW  ",27(3),2459,3,0.9,29.3,81.9,0,0.5,0,7.11
Declan Rice,West Ham,24," D(C),DMC  ",35(1),3178,4,0.7,59.8,91.6,0.2,3.6,0,7.10
Thiago,Liverpool,31, M(C)  ,17(8),1538,4,1.2,59.9,89.1,0,4,0,7.10
Marcos Alonso,Chelsea,32," D(CL),M(L)  ",25(3),2173,4,1.5,40.5,81.1,1.1,1.5,0,7.10
Allan Saint-Maximin,Newcastle,25," AM(CLR),FW  ",31(4),2812,5,1.4,19.3,76.3,0.3,0.7,0.1,7.09
Conor Gallagher,Crystal Palace,23, AM(C)  ,33(1),2851,3,1.1,30.9,81.2,1.1,1.4,0,7.09
Diogo Jota,Liverpool,26," AM(CLR),FW  ",27(8),2373,4,1.1,21.3,74.9,0.1,0.3,0.1,7.09
Thiago Silva,Chelsea,38, D(C)  ,28(4),2651,0,0.2,81.9,92.8,0,5.3,0,7.08
Bukayo Saka,Arsenal,21," D(L),M(CLR)  ",36(2),2996,7,1.8,27.9,79.5,0.8,0.4,0,7.06
James Maddison,Leicester,26, AM(CLR)  ,28(7),2468,8,1.4,27.3,80.7,0.6,1.5,0.1,7.06
Mateo Kovacic,Chelsea,28, M(CL)  ,16(9),1557,5,1.1,47.7,88.8,0,2.2,0.2,7.05
Bruno Fernandes,Man Utd,28, M(CLR)  ,35(1),3120,6,2.5,52.8,78.3,1.1,3.3,0.3,7.03
Trevoh Chalobah,Chelsea,23," D(CR),DMC  ",17(3),1451,1,0.2,63.5,90.6,0,2.2,0.1,7.03
James Ward-Prowse,Southampton,28, M(CR)  ,36,3217,5,2,50.8,86.3,2.1,1.8,0.1,7.01
N'Golo Kanté,Chelsea,31, DMC  ,21(5),1778,4,0.9,49.7,86.7,0,1.3,0.2,7.01
Fabinho,Liverpool,29," D(CR),DMC  ",26(3),2316,1,0.6,53.2,87.5,0,2.1,0.1,7.00
Christian Nørgaard,Brentford,29," D(C),DMC  ",35,3059,4,0.8,47.6,79.9,0.1,2.1,0.1,7.00
Riyad Mahrez,Man City,32," AM(CLR),FW  ",15(13),1493,5,1.4,29.5,90,0.6,1,0.2,7.00
Paul Pogba,Man Utd,29, M(CL)  ,16(4),1355,9,1.2,43.9,83.5,0.2,3.7,0.2,7.00
Yves Bissouma,Brighton,26, M(C)  ,25(1),2117,2,0.3,45.7,89.2,0,1.7,0,6.99
Wilfried Zaha,Crystal Palace,30," AM(LR),FW  ",31(2),2761,1,1.4,27.5,79.9,0.4,0.4,0.1,6.99
Ethan Pinnock,Brentford,29, D(C)  ,32,2698,1,0.3,44.3,75.4,0.1,2,0,6.97
James Tarkowski,Burnley,30, D(C)  ,35,3107,2,0.3,33.7,68.8,0,4,0,6.97
Tomás Soucek,West Ham,28, DMC  ,34(1),3062,1,0.6,38.4,76.6,0.1,1.9,0,6.97
Jorginho,Chelsea,31, DMC  ,26(3),2279,2,0.9,64.9,89.3,0,2.1,0.1,6.97
