Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Lionel Messi,PSG,35," AM(CR),FW  ",21,1852,0.9,0,0.1,0,0,0.6,0,0,8.51
Kylian Mbappé,PSG,24," AM(LR),FW  ",20(2),1742,0.3,0.1,0.5,0,0.1,0.3,0,0,7.79
Martin Terrier,Rennes,26," AM(CL),FW  ",16,1330,1.6,0.9,0.8,0,0.3,0.7,0.1,0,7.71
Neymar,PSG,31," AM(CLR),FW  ",18(2),1553,1.1,0.2,1.3,0,0.1,0.5,0.1,0,7.71
Dango Ouattara,Lorient,21, AM(LR)  ,18,1552,2.3,1.1,0.8,0,0.9,0.7,0.3,0,7.43
Alexandre Lacazette,Lyon,31," M(CLR),FW  ",23,1976,1.5,0.6,2,0,0.2,0.7,0,0,7.38
Enzo Le Fée,Lorient,23, M(CLR)  ,26,2259,3.4,0.9,1.1,0,1,2,0.2,0,7.36
Rémy Cabella,Lille,33," M(CLR),FW  ",17(3),1558,2.2,0.6,0.8,0,0.3,1,0.1,0,7.27
Fabien Centonze,Nantes,27," D(R),M(R)  ",11(2),1008,2.2,2.4,0.8,0.1,2.2,0.5,0.5,0,7.25
Benjamin André,Lille,32," D(R),M(CLR)  ",24,2118,3.7,1.3,1.8,0.1,1.8,1.9,0.3,0,7.24
Andrei Girotto,Nantes,31," D(C),DMC  ",25,2235,3.5,2.3,1.6,0.2,5.4,1.6,0.7,0,7.23
Téji Savanier,Montpellier,31, M(C)  ,21,1808,1.6,1.1,2,0,0.4,1.3,0.1,0,7.23
Jonathan David,Lille,23," AM(C),FW  ",24(1),2120,0.6,0.2,1,0,0.4,0.3,0.1,0,7.23
Branco van den Boomen,Toulouse,27, DMC  ,25,2179,2,0.4,0.9,0,0.7,1.4,0.2,0,7.17
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",18(4),1342,0.4,0.2,0.5,0,0,0.3,0,0,7.17
Aleksandr Golovin,Monaco,26, M(CLR)  ,20(5),1812,1.8,1,1,0,0.3,1.3,0,0,7.16
Florian Sotoca,Lens,32," AM(CR),FW  ",24(2),2125,1.2,0.8,1.1,0,1,0.6,0,0,7.15
Gaëtan Laborde,Nice,28," AM(CLR),FW  ",19(2),1631,1.3,0.3,0.9,0,0.5,0.5,0.1,0,7.10
Achraf Hakimi,PSG,24," D(LR),M(R)  ",16(5),1506,1.9,0.4,1,0,0.3,0.7,0,0,7.04
Yehvann Diouf,Reims,23, GK  ,19,1710,0.1,0,0,0,0.7,0,0,0,7.04
Adam Ounas,Lille,26," AM(CLR),FW  ",9(4),787,1.2,0.4,1,0.1,0.2,0.4,0,0,7.04
Malo Gusto,Lyon,19," D(R),M(R)  ",17,1448,2,1.4,0.8,0.3,0.8,1,0.2,0,7.03
Jean-Ricner Bellegarde,Strasbourg,24, M(CLR)  ,19,1594,1.6,1.1,0.8,0.1,0.7,0.5,0.1,0,7.03
Amine Gouiri,Rennes,23," AM(L),FW  ",19(2),1597,1,0.3,1.1,0,0.2,0.5,0,0,7.02
Nabil Bentaleb,Angers,28, M(C)  ,21(1),1816,2.9,1.6,1.4,0.1,1,0.7,0.3,0,7.02
Nicolás Tagliafico,Lyon,30," D(CL),M(L)  ",24,2139,3,2,1.2,0.1,1,0.8,0.3,0,7.01
Marco Verratti,PSG,30, M(C)  ,18(1),1434,3.1,0.9,1.2,0,0.3,1.5,0.3,0,7.01
Jonathan Clauss,Marseille,30," D(R),M(LR)  ",20(2),1629,1.2,0.9,0.8,0,1.1,0.7,0.1,0,7.01
