Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,PSG,35," AM(CR),FW  "," AM(CR),FW  ",21,13,12,4.3,2.5,3.4,1.5,0.3,2.4,1.5,8.51
Kylian Mbappé,PSG,24," AM(LR),FW  "," AM(LR),FW  ",20(2),18,3,4.2,1.5,2,1.1,0.9,1.1,1.8,7.79
Martin Terrier,Rennes,26," AM(CL),FW  "," AM(CL),FW  ",16,9,4,2.9,1.6,0.6,1.5,0.4,0.9,1.6,7.71
Neymar,PSG,31," AM(CLR),FW  "," AM(CLR),FW  ",18(2),13,11,1.9,2.5,1.9,3.3,0.3,1.9,2.5,7.71
Dango Ouattara,Lorient,21, AM(LR)  , AM(LR)  ,18,6,5,2.9,1.3,1.4,2.4,0.1,1.2,2.5,7.43
Alexandre Lacazette,Lyon,31," M(CLR),FW  "," M(CLR),FW  ",23,14,4,2.9,1.5,1,1.5,0.3,1.6,1.8,7.38
Enzo Le Fée,Lorient,23, M(CLR)  , M(CLR)  ,26,4,5,1.4,2,1.7,1.9,0.1,1.6,2,7.36
Rémy Cabella,Lille,33," M(CLR),FW  "," M(CLR),FW  ",17(3),4,6,1.5,3.1,0.8,1.4,0.1,1.2,1.7,7.27
Fabien Centonze,Nantes,27," D(R),M(R)  "," D(R),M(R)  ",11(2),0,0,0.5,0.5,1.8,1.1,0,0.5,1.2,7.25
Benjamin André,Lille,32," D(R),M(CLR)  "," D(R),M(CLR)  ",24,1,1,0.7,0.8,0.7,1.2,0,1.2,1.3,7.24
Andrei Girotto,Nantes,31," D(C),DMC  "," D(C),DMC  ",25,1,1,0.7,0.4,0.1,1,0,0,0.3,7.23
Téji Savanier,Montpellier,31, M(C)  , M(C)  ,21,10,1,2.1,2,2.1,3.3,0,1.5,2,7.23
Jonathan David,Lille,23," AM(C),FW  "," AM(C),FW  ",24(1),16,4,3.2,1.3,0.7,1.6,0.6,1.2,2.5,7.23
Branco van den Boomen,Toulouse,27, DMC  , DMC  ,25,5,7,1.8,2.5,0.6,0.5,0,0.4,0.9,7.17
Wissam Ben Yedder,Monaco,32," AM(C),FW  "," AM(C),FW  ",18(4),16,4,2.1,0.7,0.8,0.5,0.6,1,1.1,7.17
Aleksandr Golovin,Monaco,26, M(CLR)  , M(CLR)  ,20(5),6,6,1.6,1.8,0.8,0.7,0.2,1,1.5,7.16
Florian Sotoca,Lens,32," AM(CR),FW  "," AM(CR),FW  ",24(2),6,7,2.8,1.9,0.3,1,0.3,0.8,1.3,7.15
Gaëtan Laborde,Nice,28," AM(CLR),FW  "," AM(CLR),FW  ",19(2),7,1,2,1.2,0.7,1,0.2,0.8,2,7.10
Achraf Hakimi,PSG,24," D(LR),M(R)  "," D(LR),M(R)  ",16(5),4,3,0.7,1.4,1,0.5,0.1,0.8,0.8,7.04
Yehvann Diouf,Reims,23, GK  , GK  ,19,0,0,0,0.1,0.1,0.4,0,0,0.1,7.04
Adam Ounas,Lille,26," AM(CLR),FW  "," AM(CLR),FW  ",9(4),1,1,1.6,1.7,2.2,2,0.2,1.7,1.6,7.04
Malo Gusto,Lyon,19," D(R),M(R)  "," D(R),M(R)  ",17,0,1,0.4,1.4,1.2,1.3,0.1,0.6,1,7.03
Jean-Ricner Bellegarde,Strasbourg,24, M(CLR)  , M(CLR)  ,19,1,5,1.1,1.9,1.7,2.4,0,1.5,2.1,7.03
Amine Gouiri,Rennes,23," AM(L),FW  "," AM(L),FW  ",19(2),9,1,2.3,1.1,0.9,0.4,0.3,1.2,2.2,7.02
Nabil Bentaleb,Angers,28, M(C)  , M(C)  ,21(1),3,3,1.2,1,1.8,1.5,0,1,0.8,7.02
Nicolás Tagliafico,Lyon,30," D(CL),M(L)  "," D(CL),M(L)  ",24,1,3,0.7,0.8,0.4,1.9,0.1,0.5,1.4,7.01
Marco Verratti,PSG,30, M(C)  , M(C)  ,18(1),0,0,0.2,0.7,1.2,1.8,0,1.3,0.6,7.01
Jonathan Clauss,Marseille,30," D(R),M(LR)  "," D(R),M(LR)  ",20(2),1,8,1.5,1.5,0.8,0.3,0.1,0.5,1.2,7.01
Seko Fofana,Lens,27, M(C)  , M(C)  ,23(1),3,4,2.5,1,1.5,1.1,0.1,1.3,1.9,7.01
Terem Moffi,Lorient,23," AM(R),FW  "," AM(R),FW  ",17(1),12,0,1.9,0.5,1.1,0.9,0.2,0.7,2.3,7.01
Rafael Ratão,Toulouse,27, AM(LR)  , AM(LR)  ,19(1),5,2,1.1,1.1,1.3,1.4,0.1,1.2,1.9,7.01
Sofiane Boufal,Angers,29," AM(CLR),FW  "," AM(CLR),FW  ",9(4),4,3,1.8,2.1,2.7,1.5,0.2,1.5,2.2,7.01
Caio Henrique,Monaco,25," D(L),M(CL)  "," D(L),M(CL)  ",21(2),1,7,0.4,1.5,0.7,0.6,0,0.3,0.8,7.00
Gianluigi Donnarumma,PSG,24, GK  , GK  ,26,0,0,0,0,0,0,0,0,0,7.00
Nuno Mendes,PSG,20," D(L),M(L)  "," D(L),M(L)  ",13(4),1,3,0.4,1,0.8,1.1,0.2,0.8,1.3,7.00
Ludovic Blas,Nantes,25," M(CLR),FW  "," M(CLR),FW  ",21(4),6,1,2.9,1.2,2,1.7,0.1,2.2,2.6,7.00
Alexis Sánchez,Marseille,34," M(CLR),FW  "," M(CLR),FW  ",20(3),9,1,2,1.5,0.8,1.3,0.7,1.7,2.7,7.00
