Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",34(1),3032,17,2,38.3,82.2,0.6,1.2,0.1,8.04
Lionel Messi,PSG,35," AM(CR),FW  ",24(2),2153,14,2.4,61.7,86.7,0.3,3.1,0.7,7.77
Neymar,PSG,31," AM(CLR),FW  ",22,1861,6,2.8,55.5,82.2,0.5,1.7,0.5,7.65
Benjamin Bourigeaud,Rennes,29, M(CLR)  ,38,3215,12,3.2,42.1,76.9,2.7,2.7,0.1,7.44
Dimitri Payet,Marseille,35," M(CLR),FW  ",28(3),2597,10,3.2,45.5,81.8,2.3,2.6,0.5,7.44
Martin Terrier,Rennes,26," AM(CL),FW  ",37,2805,3,1.1,24.9,81.1,0.2,1,0.1,7.41
Téji Savanier,Montpellier,31, M(C)  ,28(1),2422,7,2.1,47.5,72.4,1.6,5.5,0.2,7.40
Aurélien Tchouaméni,Monaco,23, DMC  ,33(2),2933,2,0.6,58.9,86.7,0.1,3.1,0.1,7.32
Sofiane Boufal,Angers,29," AM(CLR),FW  ",28(1),2345,4,1.9,30.9,78.3,1.2,1.2,0.1,7.27
Lucas Paquetá,Lyon,25," M(CLR),FW  ",32(3),2713,6,1.2,43.3,79.6,0.2,1.5,0.3,7.24
Jonathan Clauss,Lens,30," D(R),M(LR)  ",35(2),3063,11,2,33.3,73.3,2.1,1.5,0.1,7.22
Marco Verratti,PSG,30, M(C)  ,23(1),1951,2,1.3,87.3,91.6,0.1,2.7,0.2,7.21
Bruno Guimarães,Lyon,25, DMC  ,19(1),1642,3,1.8,66.5,88,0.3,4.7,0.3,7.21
Moussa Dembélé,Lyon,26, FW  ,25(5),2209,4,0.9,14.4,66.1,0,0.1,0,7.21
Romain Faivre,Brest,24, AM(CLR)  ,20(1),1801,5,1.8,35,83.3,1.9,1.2,0.1,7.20
Ángel Di María,PSG,35," M(CLR),FW  ",19(7),1654,7,2.1,39.7,80.3,1.3,1.8,0.2,7.17
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",26(4),2305,5,1.3,29,80.6,0.5,0.8,0.1,7.15
Gaëtan Laborde,Rennes,28," AM(CLR),FW  ",32(2),2741,8,1.1,18.4,65.7,0.4,0.2,0.1,7.14
Andrei Girotto,Nantes,31," D(C),DMC  ",36,3150,1,0.3,46,81.6,0,3,0,7.13
Franck Honorat,Brest,26," M(LR),FW  ",34,2911,4,1.7,28.7,74.5,1.6,1.2,0.1,7.13
Andy Delort,Nice,31," AM(R),FW  ",26(6),2449,2,1,19.8,61.1,0.3,0.4,0.1,7.09
Lovro Majer,Rennes,25, AM(CR)  ,21(8),1841,8,1.6,33,81,0.8,1.6,0.1,7.06
Ludovic Ajorque,Strasbourg,29, FW  ,31(5),2743,8,1.3,24.6,72.9,0.2,0.7,0.1,7.05
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",29(8),2541,5,0.9,18.1,73.5,0.1,0.4,0.1,7.04
Kiki Kouyaté,Metz,25, D(C)  ,30,2666,0,0.1,38.3,81.4,0,2.5,0,7.04
Frédéric Guilbert,Strasbourg,28," D(CLR),M(R)  ",28(5),2521,4,1.4,29.9,75.5,2,1.5,0,7.04
Amine Gouiri,Nice,23," AM(L),FW  ",32(6),2765,9,1.3,24.7,80.4,0.7,0.9,0.1,7.01
