Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",34(1),3032,28,17,10,0,4.2,82.2,0.1,12,8.04
Lionel Messi,PSG,35," AM(CR),FW  ",24(2),2153,6,14,0,0,3.4,86.7,0.2,5,7.77
Neymar,PSG,31," AM(CLR),FW  ",22,1861,13,6,10,0,2.5,82.2,0.2,2,7.65
Benjamin Bourigeaud,Rennes,29, M(CLR)  ,38,3215,11,12,2,0,1.3,76.9,0.4,4,7.44
Dimitri Payet,Marseille,35," M(CLR),FW  ",28(3),2597,12,10,3,0,2.2,81.8,0.1,6,7.44
Martin Terrier,Rennes,26," AM(CL),FW  ",37,2805,21,3,1,0,2.4,81.1,1.1,4,7.41
Téji Savanier,Montpellier,31, M(C)  ,28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.40
Aurélien Tchouaméni,Monaco,23, DMC  ,33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32
Sofiane Boufal,Angers,29," AM(CLR),FW  ",28(1),2345,8,4,6,0,2.2,78.3,0.4,5,7.27
Lucas Paquetá,Lyon,25," M(CLR),FW  ",32(3),2713,9,6,3,0,2.5,79.6,1.3,4,7.24
Jonathan Clauss,Lens,30," D(R),M(LR)  ",35(2),3063,5,11,3,0,1.1,73.3,0.4,3,7.22
Marco Verratti,PSG,30, M(C)  ,23(1),1951,2,2,12,0,0.3,91.6,0.2,2,7.21
Bruno Guimarães,Lyon,25, DMC  ,19(1),1642,0,3,2,0,0.6,88,0.6,3,7.21
Moussa Dembélé,Lyon,26, FW  ,25(5),2209,21,4,6,0,2.9,66.1,2,4,7.21
Romain Faivre,Brest,24, AM(CLR)  ,20(1),1801,7,5,1,0,1.8,83.3,0.3,3,7.20
Ángel Di María,PSG,35," M(CLR),FW  ",19(7),1654,5,7,2,0,2,80.3,0,3,7.17
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",26(4),2305,12,5,3,0,2.5,80.6,1.1,2,7.15
