Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Kevin De Bruyne,Man City,31," M(CLR),FW  ",25(5),2205,1.1,0.2,0.7,0,0.5,0.8,0.1,0,7.63
Mohamed Salah,Liverpool,30," AM(CLR),FW  ",30(5),2763,0.5,0.2,0.3,0,0.1,0.4,0,0,7.54
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  ",32,2854,1.3,1.3,0.4,0.4,1,1,0.1,0,7.52
Son Heung-Min,Tottenham,30," M(CLR),FW  ",35,3021,0.4,0.4,0.4,0,0.2,0.5,0.2,0,7.51
Harry Kane,Tottenham,29," AM(C),FW  ",36(1),3232,0.4,0.1,1.1,0.1,1.1,0.3,0.2,0,7.45
Rodri,Man City,26," D(C),DMC  ",33,2887,2.2,0.8,1.3,0.1,1.3,0.8,0.2,0,7.43
João Cancelo,Man City,28," D(LR),M(R)  ",36,3228,2.3,1.6,0.9,0.3,0.9,1.3,0.1,0,7.42
Joël Matip,Liverpool,31, D(C)  ,31,2790,1.5,1.4,0.4,1.4,2.9,0.4,0.5,0,7.36
Sadio Mané,Liverpool,30," AM(CLR),FW  ",32(2),2825,1,0.2,1.5,0.1,0.3,0.5,0,0,7.30
Phil Foden,Man City,22," AM(CLR),FW  ",24(4),2133,0.6,0.4,0.5,0,0.1,0.4,0,0,7.29
Ivan Toney,Brentford,26, FW  ,32(1),2908,1,0.4,1.5,0,1.3,0.8,0.1,0,7.28
Bernardo Silva,Man City,28," M(CLR),FW  ",33(2),2861,1.6,0.6,0.9,0,0.4,1,0.1,0,7.27
Reece James,Chelsea,23," D(CR),DMC,M(R)  ",22(4),1868,1.3,0.7,0.8,0.1,0.7,0.5,0.1,1,7.24
Ilkay Gündogan,Man City,32, M(C)  ,20(7),1856,0.9,0.6,0.5,0,0.4,0.7,0,0,7.24
Andrew Robertson,Liverpool,28," D(L),M(L)  ",29,2541,1.2,0.8,0.7,0.5,1.8,0.5,0.1,0,7.23
