Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  ",31(2),2803,0.2,0.2,0.5,0.1,0.5,0.4,0.1,0,7.61
Zlatan Ibrahimovic,AC Milan,41, FW  ,18(1),1498,0.3,0.3,1.7,0.1,1.4,0.2,0.2,0,7.57
Lorenzo Insigne,Napoli,31," AM(CL),FW  ",33(2),2872,0.7,1.1,0.3,0,0.1,1.7,0,0,7.56
Romelu Lukaku,Inter,29," AM(R),FW  ",32(4),2887,0.3,0.1,0.9,0,0.9,0.2,0,0,7.47
Domenico Berardi,Sassuolo,28," AM(R),FW  ",28(2),2485,1.4,0.9,1.4,0,1,1.4,0,0,7.42
Rodrigo De Paul,Udinese,28," AM(CLR),FW  ",36,3204,1.1,0.5,0.9,0,0.3,1.3,0,0,7.41
Henrikh Mkhitaryan,Roma,34," M(CLR),FW  ",30(4),2747,1.7,1.1,1.1,0,0.2,1.5,0,0,7.30
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,32,2754,1.8,1,1.8,0.1,1.3,1.8,0.4,0,7.30
Theo Hernández,AC Milan,25," D(L),M(L)  ",33,2935,1.5,1,1.2,0.2,1.5,0.6,0.2,0,7.28
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  ",30(3),2629,0.8,0.5,0.9,0,0.5,0.6,0.2,0,7.27
Luis Muriel,Atalanta,31," AM(CL),FW  ",16(20),1437,0.6,0.2,0.5,0,0.1,0.5,0,0,7.25
Andrea Belotti,Torino,29, FW  ,33(2),2895,0.9,0.3,1.7,0,0.5,0.7,0.1,0,7.23
Lorenzo Pellegrini,Roma,26, M(CL)  ,30(4),2608,1.2,1.3,1.3,0,0.6,1.2,0.1,0,7.23
Junior Messias,Crotone,31," M(CR),FW  ",36,3217,1.7,1,0.9,0,1.1,1.3,0.3,0,7.22
Federico Chiesa,Juventus,25," M(CLR),FW  ",28(2),2227,1.6,0.4,1,0,0.5,1,0,0,7.21
Robin Gosens,Atalanta,28," D(L),M(CL)  ",30(2),2539,1.4,1.3,1.6,0,1,0.8,0.2,1,7.19
Lautaro Martínez,Inter,25, FW  ,30(8),2576,0.7,0.7,1.7,0,0.3,0.4,0,0,7.17
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  ",26(4),2180,1.4,1.4,1.1,0.1,0.5,1,0.1,0,7.16
Ruslan Malinovskyi,Atalanta,29," M(CR),FW  ",22(14),1883,0.5,0.1,1.3,0,0.1,0.4,0,0,7.16
Piotr Zielinski,Napoli,28, M(CLR)  ,32(4),2548,0.5,0.5,0.3,0,0.3,0.4,0.1,0,7.16
Ciro Immobile,Lazio,33, FW  ,34(1),2866,0.4,0.2,1.1,0,0.2,0.4,0,0,7.15
Franck Kessie,AC Milan,26, M(C)  ,36(1),3230,1.4,1.2,1.8,0,1.3,0.5,0.4,0,7.15
Cristian Romero,Atalanta,24, D(C)  ,29(2),2549,2,3.1,2.3,0.3,2.2,0.7,0.4,0,7.14
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  ",36,3240,2.2,1,1.4,0.2,1.4,0.9,0.4,0,7.14
Josip Ilicic,Atalanta,35," AM(CLR),FW  ",17(11),1532,0.3,0.1,0.8,0,0,0.6,0,0,7.13
Luis Alberto,Lazio,30," AM(CL),FW  ",33(1),2641,1.3,0.4,0.6,0,0.3,1.7,0.1,0,7.10
Victor Osimhen,Napoli,24, FW  ,16(8),1576,0.9,0.3,1.4,0,0.4,0.5,0,0,7.09
Manuel Locatelli,Sassuolo,25, M(C)  ,32(2),2886,2.4,1.5,1.5,0.1,1.7,0.8,0.4,0,7.08
Duván Zapata,Atalanta,31, FW  ,29(8),2400,0.3,0.2,0.8,0,0.5,0.2,0.1,0,7.05
