Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  ",33,2919,31,5,6.3,1.5,1.6,1.8,0.9,1,2.2,7.82
Josip Ilicic,Atalanta,35," AM(CLR),FW  ",21(5),1673,15,5,3.1,2.1,2.3,2.3,0.1,1.8,2,7.65
Ciro Immobile,Lazio,33, FW  ,36(1),3176,36,9,3.8,1.6,0.6,1,0.6,0.8,2.6,7.57
Luis Alberto,Lazio,30," AM(CL),FW  ",36,3122,6,15,2.7,2.9,2,1.1,0,1.3,1.4,7.55
Papu Gómez,Atalanta,35," M(CLR),FW  ",34(2),2861,7,16,2.6,2.8,1.8,2.1,0.1,1.1,1.6,7.55
Zlatan Ibrahimovic,AC Milan,41, FW  ,16(2),1365,10,5,3.7,1.4,0.7,0.9,1.1,0.9,2,7.51
Edin Dzeko,Roma,36, FW  ,31(4),2884,16,7,3.5,1.5,1,1.4,0.5,1.1,2.4,7.48
Domenico Berardi,Sassuolo,28," AM(R),FW  ",29(2),2505,14,10,3.9,1.9,1.3,2.1,0.2,1,2.1,7.45
Paulo Dybala,Juventus,29," AM(CR),FW  ",25(8),2165,11,6,3,2.1,2,1.6,0.2,1.2,1.8,7.44
Duván Zapata,Atalanta,31, FW  ,25(3),2038,18,6,3.2,1.4,0.8,1.6,0.4,2.2,3.4,7.41
Romelu Lukaku,Inter,29," AM(R),FW  ",33(3),2984,23,2,2.8,1.5,0.6,0.6,0.6,1.9,1.9,7.30
Musa Barrow,Bologna,24," AM(CL),FW  ",14(4),1354,9,2,3.6,1.9,1.9,0.7,0.1,1,3.3,7.28
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,35(2),3038,7,4,2.4,1.3,1.1,1.2,0.2,1.3,2.2,7.27
Rodrigo De Paul,Udinese,28," AM(CLR),FW  ",33(1),2828,7,6,2.5,2.3,1.8,2.2,0.1,1.4,2.1,7.25
Robin Gosens,Atalanta,28," D(L),M(CL)  ",31(3),2628,9,8,1.5,1.2,0.5,1.1,0.2,0.3,1.1,7.22
Radja Nainggolan,Cagliari,34, M(C)  ,25(1),2082,6,7,2.5,1.9,1.5,1.1,0,1.7,2,7.21
Theo Hernández,AC Milan,25," D(L),M(L)  ",32(1),2819,6,3,1.5,1.3,1.7,2.1,0.2,0.6,1.5,7.19
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  ",34(1),2719,9,9,2.9,2,0.8,0.8,0,0.9,1.8,7.19
Jérémie Boga,Sassuolo,26," AM(CLR),FW  ",28(6),2525,11,2,1.7,1,3.9,1.6,0.3,1.4,1.9,7.17
Joaquín Correa,Lazio,28," AM(CL),FW  ",22(8),2005,9,2,2.6,1.1,1.7,1.6,0.2,0.9,1.9,7.16
Marcelo Brozovic,Inter,30, M(CR)  ,30(2),2703,3,6,1.7,1.2,0.8,0.6,0,0.6,1.2,7.15
Aleksandar Kolarov,Roma,37," D(CL),M(L)  ",30(2),2760,7,3,2.3,1.8,0.6,0.9,0.1,0.3,0.7,7.14
