Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  ",31(2),2803,3,1.1,29.9,82.1,0.4,0.5,0.1,7.61
Zlatan Ibrahimovic,AC Milan,41, FW  ,18(1),1498,2,1.1,27.5,72,0.1,0.6,0.1,7.57
Lorenzo Insigne,Napoli,31," AM(CL),FW  ",33(2),2872,7,1.8,48.7,83.7,0.7,3.2,0.2,7.56
Romelu Lukaku,Inter,29," AM(R),FW  ",32(4),2887,11,1.4,20.4,72.5,0.1,0.4,0.1,7.47
Domenico Berardi,Sassuolo,28," AM(R),FW  ",28(2),2485,7,1.9,39.4,80.5,1,2,0.2,7.42
Rodrigo De Paul,Udinese,28," AM(CLR),FW  ",36,3204,9,2.3,51.1,79.8,2,4.5,0.2,7.41
Henrikh Mkhitaryan,Roma,34," M(CLR),FW  ",30(4),2747,10,1.4,33.9,78.5,0.4,0.9,0.2,7.30
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,32,2754,9,1.3,54.1,78.7,0.5,3.7,0,7.30
Theo Hernández,AC Milan,25," D(L),M(L)  ",33,2935,5,1.3,48,83.1,0.5,1.9,0,7.28
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  ",30(3),2629,9,3,41.7,84.1,2.2,2.3,0,7.27
Luis Muriel,Atalanta,31," AM(CL),FW  ",16(20),1437,9,1.3,17.4,74.9,0.6,0.5,0,7.25
Andrea Belotti,Torino,29, FW  ,33(2),2895,6,1.1,19.6,69.5,0.1,0.7,0.2,7.23
Lorenzo Pellegrini,Roma,26, M(CL)  ,30(4),2608,6,1.9,38.2,82,1.7,1.9,0.2,7.23
Junior Messias,Crotone,31," M(CR),FW  ",36,3217,4,0.9,29.6,78.5,0.7,1.4,0,7.22
Federico Chiesa,Juventus,25," M(CLR),FW  ",28(2),2227,8,1.5,23.1,80.4,0.7,1,0.1,7.21
Robin Gosens,Atalanta,28," D(L),M(CL)  ",30(2),2539,6,0.9,43.1,81.8,0.6,1.1,0,7.19
Lautaro Martínez,Inter,25, FW  ,30(8),2576,6,1,14.5,68.4,0.1,0.6,0,7.17
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  ",26(4),2180,10,2,49.4,87.7,1.4,2.8,0,7.16
Ruslan Malinovskyi,Atalanta,29," M(CR),FW  ",22(14),1883,12,2.2,27.6,80.1,1.2,1.5,0.2,7.16
Piotr Zielinski,Napoli,28, M(CLR)  ,32(4),2548,10,1.6,32.6,85.9,0.6,1.6,0.1,7.16
Ciro Immobile,Lazio,33, FW  ,34(1),2866,6,1.5,24.7,74,0.1,0.6,0.1,7.15
Franck Kessie,AC Milan,26, M(C)  ,36(1),3230,4,0.8,53.9,88.9,0.1,2.8,0,7.15
Cristian Romero,Atalanta,24, D(C)  ,29(2),2549,2,0.3,42.2,86.2,0,2.3,0,7.14
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  ",36,3240,6,1.4,60.8,86.9,0.4,2.3,0.1,7.14
Josip Ilicic,Atalanta,35," AM(CLR),FW  ",17(11),1532,9,2.2,32.2,77.5,1,2.1,0.2,7.13
Luis Alberto,Lazio,30," AM(CL),FW  ",33(1),2641,2,2.4,51.7,81.9,0.9,2.6,0.2,7.10
Victor Osimhen,Napoli,24, FW  ,16(8),1576,3,1,9.8,71.5,0.1,0.2,0,7.09
Manuel Locatelli,Sassuolo,25, M(C)  ,32(2),2886,2,1.1,80.9,88.3,0.3,4.9,0,7.08
Duván Zapata,Atalanta,31, FW  ,29(8),2400,9,1.1,20.6,79.5,0.2,0.3,0,7.05
Diego Godín,Cagliari,37, D(C)  ,28,2510,0,0.3,55.2,83.6,0,4.7,0,7.04
Davide Calabria,AC Milan,26," D(LR),M(R)  ",30(2),2652,1,0.7,46.5,79.2,0.5,3,0,7.04
Marcelo Brozovic,Inter,30, M(CR)  ,29(4),2585,6,1.4,66.7,89.6,1,4.3,0.1,7.03
Danilo,Juventus,31," D(CLR),DMC  ",32(2),2918,4,0.7,67.2,88.9,0.4,3.1,0.1,7.03
Milan Badelj,Genoa,34, M(C)  ,29(1),2415,4,1,52.4,82.1,0.1,4.2,0,7.02
Simon Kjaer,AC Milan,33, D(C)  ,28,2397,2,0.3,52.8,88,0,4.2,0,7.01
Paulo Dybala,Juventus,29," AM(CR),FW  ",14(6),1137,3,1.5,31.7,87.8,0.9,1.5,0.1,7.01
João Pedro,Cagliari,31," AM(CLR),FW  ",37,3262,3,1,24.7,74.3,0.1,1.2,0,7.00
Remo Freuler,Atalanta,30, DMC  ,32(2),2721,3,0.9,61.1,89,0.1,2.5,0,6.99
Ante Rebic,AC Milan,29," AM(CLR),FW  ",20(7),1782,4,1.3,14.8,67.7,0.5,0.3,0.1,6.99
Fabián Ruiz,Napoli,26, M(CL)  ,29(4),2576,1,1.2,63,90.2,0.2,5.2,0,6.98
Leonardo Spinazzola,Roma,29," D(LR),M(L)  ",25(2),2130,4,1.4,38.3,80.6,0.9,2.1,0.1,6.98
Achraf Hakimi,Inter,24," D(LR),M(R)  ",29(8),2673,8,1,32.7,84.5,0.8,0.9,0,6.98
Marten de Roon,Atalanta,31," D(C),DMC  ",33(2),3022,1,0.5,61.8,85.5,0.1,4,0,6.98
Hirving Lozano,Napoli,27," AM(LR),FW  ",23(9),1972,3,1.1,16.7,76.6,0.4,0.3,0,6.98
Juraj Kucka,Parma Calcio 1913,36, M(CLR)  ,28,2345,2,0.6,32.3,72.4,0.2,1.1,0.1,6.97
Nicolò Barella,Inter,26, AM(C)  ,32(4),2901,7,1.3,51.1,84.9,0.4,2.2,0.1,6.95
Alex Sandro,Juventus,32," D(CL),M(L)  ",20(6),1859,1,0.7,48.3,87.7,0.5,2.5,0,6.94
Rodrigo Bentancur,Juventus,25, M(C)  ,27(6),2326,4,0.9,55,89.8,0.3,3.2,0,6.94
Vlad Chiriches,Sassuolo,33, D(CR)  ,22(2),1843,1,0.3,66.7,93.7,0,2.3,0,6.93
Roberto Soriano,Bologna,32, AM(CLR)  ,37,3255,6,1.4,39.4,82.9,0.2,1.1,0.1,6.93
Marco Faraoni,Verona,31," D(R),M(R)  ",33(1),2896,7,0.7,34.3,71.6,0.4,2.3,0,6.92
Álvaro Morata,Juventus,30," AM(L),FW  ",23(9),2019,9,1.3,18,76.5,0.2,0.5,0.1,6.91
Andrea Consigli,Sassuolo,36, GK  ,37,3330,0,0,31.9,78.8,0,4.4,0,6.91
Edin Dzeko,Roma,36, FW  ,20(7),1828,3,1.1,18,68.8,0.1,0.7,0,6.91
Berat Djimsiti,Atalanta,30, D(C)  ,28(5),2629,2,0.6,52.6,87.4,0.1,2.2,0,6.90
Omar Colley,Sampdoria,30, D(C)  ,28(1),2590,0,0.1,46.6,81.1,0,4.4,0,6.90
Federico Dimarco,Verona,25," D(CL),M(L)  ",29(6),2616,3,2.1,42.1,75.7,2.1,2.5,0,6.90
Dusan Vlahovic,Fiorentina,23, FW  ,34(3),2933,3,0.5,16.1,66.3,0,0.4,0,6.90
Adrien Rabiot,Juventus,27," DMC,M(L)  ",25(9),2314,2,0.3,41.6,90.8,0.1,1.2,0,6.90
Joaquín Correa,Lazio,28," AM(CL),FW  ",25(3),1945,3,1,24.4,83.2,0.1,0.9,0,6.90
Milan Skriniar,Inter,28, D(C)  ,31(1),2779,0,0.3,67.5,92.2,0.1,2.6,0,6.90
