Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  ",31(2),2803,29,3,3,0,5.1,82.1,0.7,8,7.61
Zlatan Ibrahimovic,AC Milan,41, FW  ,18(1),1498,15,2,2,1,4.3,72,4.5,8,7.57
Lorenzo Insigne,Napoli,31," AM(CL),FW  ",33(2),2872,19,7,2,1,4.1,83.7,0.1,11,7.56
Romelu Lukaku,Inter,29," AM(R),FW  ",32(4),2887,24,11,4,0,2.7,72.5,1.3,7,7.47
Domenico Berardi,Sassuolo,28," AM(R),FW  ",28(2),2485,17,7,4,0,3.8,80.5,0.4,8,7.42
Rodrigo De Paul,Udinese,28," AM(CLR),FW  ",36,3204,9,9,3,2,2.3,79.8,0.2,12,7.41
Henrikh Mkhitaryan,Roma,34," M(CLR),FW  ",30(4),2747,13,10,2,0,2.4,78.5,0.4,4,7.30
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,32,2754,8,9,4,0,2,78.7,3.3,8,7.30
Theo Hernández,AC Milan,25," D(L),M(L)  ",33,2935,7,5,9,0,1.4,83.1,1.6,2,7.28
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  ",30(3),2629,4,9,4,0,2.5,84.1,0.5,4,7.27
Luis Muriel,Atalanta,31," AM(CL),FW  ",16(20),1437,22,9,0,0,2.4,74.9,0.7,7,7.25
Andrea Belotti,Torino,29, FW  ,33(2),2895,13,6,4,0,3.1,69.5,2.4,3,7.23
Lorenzo Pellegrini,Roma,26, M(CL)  ,30(4),2608,7,6,10,0,2.1,82,0.6,7,7.23
Junior Messias,Crotone,31," M(CR),FW  ",36,3217,9,4,6,0,2.7,78.5,1,3,7.22
Federico Chiesa,Juventus,25," M(CLR),FW  ",28(2),2227,8,8,3,1,2,80.4,0.2,3,7.21
Robin Gosens,Atalanta,28," D(L),M(CL)  ",30(2),2539,11,6,7,1,1.6,81.8,1.1,3,7.19
Lautaro Martínez,Inter,25, FW  ,30(8),2576,17,6,5,0,2.9,68.4,0.7,5,7.17
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  ",26(4),2180,2,10,9,1,0.6,87.7,0.4,4,7.16
Ruslan Malinovskyi,Atalanta,29," M(CR),FW  ",22(14),1883,8,12,3,0,1.9,80.1,0.8,4,7.16
Piotr Zielinski,Napoli,28, M(CLR)  ,32(4),2548,8,10,2,0,1.7,85.9,0.1,0,7.16
Ciro Immobile,Lazio,33, FW  ,34(1),2866,20,6,3,1,3.4,74,0.8,6,7.15
Franck Kessie,AC Milan,26, M(C)  ,36(1),3230,13,4,8,0,1.3,88.9,1.5,2,7.15
Cristian Romero,Atalanta,24, D(C)  ,29(2),2549,2,2,10,0,0.5,86.2,3.6,2,7.14
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  ",36,3240,3,6,11,0,0.8,86.9,1.6,1,7.14
Josip Ilicic,Atalanta,35," AM(CLR),FW  ",17(11),1532,6,9,2,0,2.1,77.5,0,4,7.13
Luis Alberto,Lazio,30," AM(CL),FW  ",33(1),2641,9,2,5,0,2,81.9,0.3,4,7.10
Victor Osimhen,Napoli,24, FW  ,16(8),1576,10,3,4,0,2.8,71.5,1.9,2,7.09
Manuel Locatelli,Sassuolo,25, M(C)  ,32(2),2886,4,2,9,0,1.2,88.3,1.4,1,7.08
Duván Zapata,Atalanta,31, FW  ,29(8),2400,15,9,0,0,2.7,79.5,1.3,1,7.05
Diego Godín,Cagliari,37, D(C)  ,28,2510,1,0,3,0,0.4,83.6,2.5,1,7.04
Davide Calabria,AC Milan,26," D(LR),M(R)  ",30(2),2652,2,1,7,0,0.8,79.2,0.8,0,7.04
Marcelo Brozovic,Inter,30, M(CR)  ,29(4),2585,2,6,7,1,0.8,89.6,0.6,1,7.03
Danilo,Juventus,31," D(CLR),DMC  ",32(2),2918,1,4,6,0,0.6,88.9,0.9,1,7.03
Milan Badelj,Genoa,34, M(C)  ,29(1),2415,1,4,7,0,0.6,82.1,0.6,1,7.02
Simon Kjaer,AC Milan,33, D(C)  ,28,2397,0,2,3,0,0.6,88,2,1,7.01
