,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Rolando Aarons,eng ENG,MFFW,Hellas Verona,21,1995,5.7,13,8,4,4,5,1,7,14.3,6,3,1,2,2,15,0,0,Matches,c5942695
2,Ignazio Abate,it ITA,DF,Milan,30,1986,11.7,20,17,10,9,1,6,11,54.5,5,22,2,20,8,28,29,0,Matches,1c529186
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,51,32,26,22,3,22,36,61.1,14,42,21,21,88,139,255,1,Matches,b96b595c
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,8,6,2,6,0,1,7,14.3,6,8,1,7,16,24,10,2,Matches,d7403bd5
5,Claud Adjapong,it ITA,DFFW,Sassuolo,19,1998,13.6,35,26,24,5,6,11,13,84.6,2,16,3,13,23,58,37,0,Matches,ce5b170a
6,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,23,1993,18.6,54,35,35,14,5,29,50,58.0,21,31,6,25,41,95,90,0,Matches,06050480
7,Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,42,23,25,14,3,18,30,60.0,12,27,15,12,34,76,82,0,Matches,f9714604
8,Luis Alberto,es ESP,FWMF,Lazio,24,1992,29.7,39,28,8,23,8,10,44,22.7,34,30,2,28,16,55,7,0,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,29,19,15,14,0,13,19,68.4,6,18,13,5,32,61,129,1,Matches,4bd414c1
10,Alisson,br BRA,GK,Roma,24,1992,37.0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,22,4,Matches,7a2e46a8
11,Allan,br BRA,MF,Napoli,26,1991,31.7,107,68,24,65,18,36,104,34.6,68,52,3,49,28,135,16,0,Matches,cc700722
12,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,4,2,1,3,0,1,4,25.0,3,5,0,5,2,6,3,0,Matches,92a5ac34
