,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Rolando Aarons,eng ENG,MFFW,Hellas Verona,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,c5942695
2,Ignazio Abate,it ITA,DF,Milan,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,1c529186
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,b96b595c
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,d7403bd5
5,Claud Adjapong,it ITA,DFFW,Sassuolo,19,1998,13.6,0,14,4,28.6,1.03,0.30,0.00,0.00,20.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,ce5b170a
6,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,23,1993,18.6,0,12,3,25.0,0.65,0.16,0.00,0.00,27.6,5,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,06050480
7,Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,0,8,0,0.0,0.57,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches,f9714604
8,Luis Alberto,es ESP,FWMF,Lazio,24,1992,29.7,11,79,23,29.1,2.66,0.78,0.13,0.43,22.3,9,1,2,7.2,5.7,0.07,+3.8,+4.3,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,3,17,7,41.2,0.56,0.23,0.18,0.43,11.1,0,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches,4bd414c1
10,Alisson,br BRA,GK,Roma,24,1992,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
11,Allan,br BRA,MF,Napoli,26,1991,31.7,4,37,12,32.4,1.17,0.38,0.11,0.33,22.6,0,0,0,3.8,3.8,0.10,+0.2,+0.2,Matches,cc700722
12,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,1,10,3,30.0,3.37,1.01,0.10,0.33,23.1,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,92a5ac34
13,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,0,3,0,0.0,0.49,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,e34fc66d
14,Felipe Anderson,br BRA,FWMF,Lazio,24,1993,12.9,4,26,10,38.5,2.01,0.77,0.15,0.40,19.4,1,0,0,2.8,2.8,0.11,+1.2,+1.2,Matches,9f1893b9
15,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,326d09ef
16,Marco Andreolli,it ITA,DF,Cagliari,31,1986,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,14.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,13d820de
17,Gabriele Angella,it ITA,DF,Udinese,28,1989,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,10.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,0c971997
18,Cristian Ansaldi,ar ARG,DF,Torino,30,1986,20.8,1,18,6,33.3,0.87,0.29,0.06,0.17,20.7,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches,bbafc0c4
19,Luca Antei,it ITA,DF,Benevento,25,1992,6.6,0,1,1,100.0,0.15,0.15,0.00,0.00,11.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,97c9bce3
20,Mirco Antenucci,it ITA,FW,SPAL,32,1984,28.6,11,60,21,35.0,2.10,0.74,0.10,0.29,19.2,0,5,5,8.1,4.2,0.07,+2.9,+1.8,Matches,43a2e16c
21,Luca Antonelli,it ITA,DFFW,Milan,30,1987,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,40f0ed6c
22,Mirko Antonucci,it ITA,FW,Roma,18,1999,0.3,0,1,0,0.0,2.90,0.00,0.00,,2.0,0,0,0,0.6,0.6,0.56,-0.6,-0.6,Matches,91976866
23,Samuel Armenteros,se SWE,FW,Benevento,27,1990,4.8,1,6,3,50.0,1.26,0.63,0.17,0.33,11.3,0,0,0,1.4,1.4,0.23,-0.4,-0.4,Matches,9c8f641a
24,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,17.4,0,7,1,14.3,0.40,0.06,0.00,0.00,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,089550f5
25,Davide Astori,it ITA,DF,Fiorentina,30,1987,25.0,1,9,2,22.2,0.36,0.08,0.11,0.50,9.1,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,1522dab2
26,Felipe Avenatti,uy URU,FW,Bologna,24,1993,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,12.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,23f9e9d3
27,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,5.0,4,21,11,52.4,4.22,2.21,0.10,0.18,18.7,0,2,2,3.9,2.4,0.11,+0.1,-0.4,Matches,422ec08a
28,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,8.3,2,25,5,20.0,3.00,0.60,0.04,0.20,16.9,1,1,1,3.5,2.7,0.11,-1.5,-1.7,Matches,422ec08a
29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,26.1,2,33,6,18.2,1.26,0.23,0.06,0.33,21.5,0,0,0,2.0,2.0,0.06,0.0,0.0,Matches,e8c930bb
30,Riad Bajić,ba BIH,FWMF,Udinese,23,1994,0.9,0,2,1,50.0,2.25,1.13,0.00,0.00,11.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,49d399d5
31,Andrija Balić,hr CRO,MF,Udinese,19,1997,12.0,0,16,3,18.8,1.33,0.25,0.00,0.00,25.8,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,9be4ee80
32,Mattia Bani,it ITA,DF,Chievo,23,1993,14.6,0,3,0,0.0,0.21,0.00,0.00,,8.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,0821331c
33,Antonín Barák,cz CZE,MF,Udinese,22,1994,30.1,7,38,22,57.9,1.26,0.73,0.18,0.32,20.7,0,0,0,2.8,2.8,0.07,+4.2,+4.2,Matches,01efac19
34,Andrea Barberis,it ITA,MF,Crotone,23,1993,33.7,2,23,8,34.8,0.68,0.24,0.09,0.25,24.5,9,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches,32ebfe1e
35,Nicolò Barella,it ITA,MF,Cagliari,20,1997,32.8,6,31,8,25.8,0.94,0.24,0.10,0.38,27.1,0,3,3,3.6,1.2,0.04,+2.4,+1.8,Matches,6928979a
36,Antonio Barreca,it ITA,DF,Torino,22,1995,5.2,0,1,0,0.0,0.19,0.00,0.00,,23.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,6a189491
37,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,21.8,1,21,6,28.6,0.96,0.27,0.05,0.17,20.5,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,43a1bea5
38,Musa Barrow,gm GAM,FW,Atalanta,18,1998,4.9,3,26,14,53.8,5.28,2.84,0.12,0.21,16.3,0,0,0,2.1,2.1,0.08,+0.9,+0.9,Matches,e5bf73f3
39,Andrea Barzagli,it ITA,DF,Juventus,36,1981,16.1,0,1,0,0.0,0.06,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,7c0000fd
40,Daniele Baselli,it ITA,MF,Torino,25,1992,28.0,4,35,9,25.7,1.25,0.32,0.11,0.44,19.1,0,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches,ea06dd97
41,Dušan Basta,rs SRB,DF,Lazio,32,1984,8.6,0,10,3,30.0,1.16,0.35,0.00,0.00,18.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,3b57f7f8
42,Gil Bastião Dias,pt POR,FWMF,Fiorentina,20,1996,13.2,2,31,10,32.3,2.34,0.76,0.06,0.20,17.7,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches,e61bdd69
43,Samuel Bastien,cd COD,MF,Chievo,20,1996,15.1,1,15,4,26.7,1.00,0.27,0.07,0.25,23.4,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,ec30b9c8
44,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,1.0,0,1,0,0.0,0.99,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,75b86fb3
45,Bastos,ao ANG,DF,Lazio,26,1991,15.6,4,9,4,44.4,0.58,0.26,0.44,1.00,12.5,0,0,0,2.9,2.9,0.32,+1.1,+1.1,Matches,c01c66d9
46,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,20,1996,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,31.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,c67836b8
47,Valon Behrami,ch SUI,MF,Udinese,32,1985,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,21.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,d3d758d8
48,Vid Belec,si SVN,GK,Benevento,27,1990,12.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f8ce0e1
49,Vid Belec,si SVN,GK,Sampdoria,27,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f8ce0e1
50,Andrea Belotti,it ITA,FW,Torino,23,1993,29.8,10,84,27,32.1,2.82,0.91,0.12,0.37,14.5,0,0,2,10.5,8.9,0.11,-0.5,+1.1,Matches,d705ba44
51,Ahmad Benali,ly LBY,MF,Crotone,25,1992,9.0,1,5,3,60.0,0.55,0.33,0.20,0.33,11.8,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches,a128b07e
52,Marco Benassi,it ITA,MFFW,Fiorentina,22,1994,30.9,5,70,26,37.1,2.26,0.84,0.07,0.19,21.6,0,0,0,4.0,4.0,0.06,+1.0,+1.0,Matches,0000acda
53,Medhi Benatia,ma MAR,DF,Juventus,30,1987,19.5,2,13,4,30.8,0.67,0.21,0.15,0.50,11.1,0,0,0,2.5,2.5,0.20,-0.5,-0.5,Matches,3b15ef2d
54,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,3b8674e6
55,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,25.5,4,81,23,28.4,3.18,0.90,0.02,0.09,22.6,5,2,4,8.9,5.8,0.07,-4.9,-3.8,Matches,53a0e358
56,Álex Berenguer,es ESP,FW,Torino,22,1995,11.6,1,14,9,64.3,1.21,0.78,0.07,0.11,21.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,dc1c2fce
57,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,27.6,0,5,0,0.0,0.18,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,61b3978f
58,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ee833569
59,Federico Bernardeschi,it ITA,FWMF,Juventus,23,1994,9.4,4,27,11,40.7,2.87,1.17,0.15,0.36,19.8,2,0,0,2.8,2.8,0.10,+1.2,+1.2,Matches,ee93c1a9
60,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,32.2,1,15,2,13.3,0.47,0.06,0.07,0.50,18.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,c75b6a02
61,Daniel Bessa,it ITA,MFFW,Hellas Verona,24,1993,15.4,1,14,4,28.6,0.91,0.26,0.07,0.25,23.4,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,88895312
62,Daniel Bessa,it ITA,MF,Genoa,24,1993,4.9,2,4,2,50.0,0.82,0.41,0.50,1.00,5.8,0,0,0,1.8,1.8,0.45,+0.2,+0.2,Matches,88895312
63,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3a20f18
64,Lucas Biglia,ar ARG,MF,Milan,31,1986,22.7,1,21,4,19.0,0.93,0.18,0.05,0.25,25.0,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,5710a281
65,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3e1d20d
66,Davide Biondini,it ITA,MF,Sassuolo,34,1983,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4c3070a
67,Cristiano Biraghi,it ITA,DF,Fiorentina,24,1992,33.1,1,35,6,17.1,1.06,0.18,0.03,0.17,21.8,7,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches,9e1577aa
