Name,Saison,Rating,Age,Mean,Growth
Aaron Hughes,2009,6.95,30,6.88,-0.33000000000000007
Aaron Hunt,2009,7.15,23,7.02375,-0.13999999999999968
Aaron Lennon,2009,7.33,22,6.710909090909092,-0.5599999999999996
Aaron Mokoena,2009,6.56,29,6.56,0.0
Abdelhamid El Kaoutari,2009,6.7,20,6.866666666666667,-0.5800000000000001
Abdelkader Ghezzal,2009,6.86,25,6.475,0.3700000000000001
Abdeslam Ouaddou,2009,6.76,31,6.76,0.0
Abdoulay Konko,2009,6.9,26,6.928333333333334,-0.08000000000000007
Abdoulaye Faye,2009,7.03,32,6.875,0.3100000000000005
Abdoulrazak Boukari,2009,6.75,23,6.84,0.08999999999999986
Abel Aguilar,2009,6.67,25,6.903999999999999,0.2999999999999998
Abou Diaby,2009,7.76,24,7.333333333333333,0.6799999999999997
Adailton,2009,7.02,33,7.02,0.0
Adam Johnson,2009,7.23,22,6.838571428571428,0.0699999999999994
Adama Coulibaly,2009,7.24,29,7.195,-0.08999999999999986
Adil Chihi,2009,7.03,22,6.955,0.15000000000000036
Adil Hermach,2009,7.02,24,7.13,0.22000000000000064
Adil Rami,2009,7.1,24,6.932,0.1800000000000006
Adriano,2009,7.13,25,7.135000000000001,-0.019999999999999574
Adriano Pereira,2009,6.96,28,6.92,-0.08000000000000007
Adrián González,2009,6.77,21,6.6137500000000005,-0.1899999999999995
Adrián López,2009,6.47,21,6.6450000000000005,0.16999999999999993
Adrián Ramos,2009,7.18,23,7.2025,0.09999999999999964
Adrián Ricchiuti,2009,6.8,32,6.6433333333333335,-0.040000000000000036
Alaeddine Yahia,2009,7.0,28,6.866,0.3099999999999996
Alan Hutton,2009,6.89,25,6.751666666666666,-0.11000000000000032
Albert Bunjaku,2009,6.87,26,6.87,0.0
Albert Crusat,2009,7.0,28,6.835,-0.33000000000000007
Alberto Botía,2009,6.97,21,6.816,-0.16999999999999993
Alberto Gilardino,2009,6.99,27,6.810000000000001,-0.11000000000000032
Alberto Lopo,2009,6.96,30,6.903999999999999,0.05999999999999961
Alberto Lora,2009,7.08,23,7.0175,0.08000000000000007
Alberto Rivera,2009,7.01,32,6.966666666666666,0.08000000000000007
Alberto Zapater,2009,6.95,25,6.95,0.0
Albin Ebondo,2009,6.64,26,6.6499999999999995,0.020000000000000462
Albin Ekdal,2009,6.8,20,6.7991666666666655,0.09999999999999964
Aleandro Rosi,2009,6.9,22,6.7250000000000005,0.14000000000000057
Alejandro Alfaro,2009,6.94,23,6.6433333333333335,-0.4400000000000004
Alejandro Alonso,2009,6.91,28,6.76,-0.2999999999999998
Aleksandar Kolarov,2009,7.21,24,7.155999999999999,0.3200000000000003
Aleksander Lukovic,2009,7.05,27,7.05,0.0
Alessandro Agostini,2009,6.81,30,6.664,-0.1900000000000004
Alessandro Del Piero,2009,7.06,35,6.984999999999999,0.14999999999999947
Alessandro Diamanti,2009,7.15,27,7.16,0.4299999999999997
Alessandro Gamberini,2009,6.77,28,6.910000000000001,-0.09999999999999964
Alessandro Gazzi,2009,6.95,27,6.948571428571429,-0.1800000000000006
Alessandro Lucarelli,2009,6.96,32,7.021666666666666,0.6199999999999992
Alessandro Matri,2009,6.98,25,6.713750000000001,-0.46999999999999975
Alessandro Nesta,2009,7.47,34,7.13,0.45999999999999996
Alessandro Parisi,2009,6.67,33,6.79,-0.2400000000000002
Alessandro Potenza,2009,6.4,26,6.470000000000001,-0.13999999999999968
Alex,2009,7.37,28,7.15142857142857,-0.16000000000000014
Alexander Madlung,2009,6.65,27,6.7775,0.0
Alexander Meier,2009,7.14,26,7.171428571428571,-0.4500000000000002
Alexander Tettey,2009,6.82,23,6.748,0.009999999999999787
Alexandre Cuvillier,2009,6.7,24,6.63,-0.14000000000000057
Alexandre Pato,2009,7.52,20,7.109999999999999,0.34999999999999964
Alexandre Song,2009,7.5,22,7.176666666666667,-0.5300000000000002
Alexandros Tziolis,2009,6.94,25,6.94,0.0
Alexis Ruano,2009,6.68,24,6.676666666666666,0.0
Alexis Sánchez,2009,7.53,21,7.385384615384615,-0.27999999999999936
Alfonso De Lucia,2009,6.59,26,6.59,0.0
Alfred N'Diaye,2009,6.44,19,6.696666666666666,0.11999999999999922
Alhassane Keita,2009,6.19,27,6.19,0.0
Aliaksandr Hleb,2009,6.89,29,6.71,0.35999999999999943
Alou Diarra,2009,7.29,28,7.085,-0.21999999999999975
Aly Cissokho,2009,7.26,22,6.884285714285715,0.2599999999999998
Amauri,2009,6.76,30,6.884,-0.6400000000000006
Anatoliy Tymoshchuk,2009,6.62,31,6.903333333333333,0.05000000000000071
Ander Herrera,2009,6.88,20,7.022500000000001,0.5600000000000005
Ander Iturraspe,2009,6.68,20,6.760000000000001,0.23000000000000043
Anderson,2009,6.84,22,6.8066666666666675,-0.79
Andoni Iraola,2009,6.88,28,6.851666666666667,-0.040000000000000036
Andre Luiz,2009,6.78,30,6.705,0.1299999999999999
Andrea Barzagli,2009,6.7,28,6.971111111111111,-0.27999999999999936
Andrea Coda,2009,6.88,25,6.6579999999999995,-0.010000000000000675
Andrea Consigli,2009,6.78,22,6.760833333333333,-0.009999999999999787
Andrea Cossu,2009,7.23,29,6.866666666666667,-0.7100000000000009
Andrea Lazzari,2009,7.09,25,6.83,0.019999999999999574
Andrea Mantovani,2009,7.06,26,6.81,-0.3100000000000005
Andrea Masiello,2009,6.98,23,6.83375,0.21999999999999975
Andrea Pirlo,2009,7.2,31,7.488333333333333,0.5
Andrea Poli,2009,6.76,20,6.67875,-0.04999999999999982
Andrea Raggi,2009,6.82,26,6.775,-0.02999999999999936
Andrea Ranocchia,2009,7.31,21,7.157777777777778,-0.23000000000000043
Andreas Beck,2009,6.96,22,6.845000000000001,0.3600000000000003
Andreas Ibertsberger,2009,7.06,27,7.0649999999999995,0.010000000000000675
Andreas Ivanschitz,2009,6.75,26,6.703333333333333,-0.14000000000000057
Andreas Ottl,2009,6.78,25,6.656666666666666,-0.3700000000000001
Andreas Wolf,2009,6.7,28,6.846666666666667,0.09999999999999964
Andrey Arshavin,2009,7.26,29,7.16,0.20000000000000018
André Bikey,2009,6.77,25,6.77,0.0
André Dias,2009,7.38,31,7.132,-0.1299999999999999
André Schürrle,2009,6.94,19,7.050000000000001,0.4800000000000004
André-Pierre Gignac,2009,7.2,24,7.014,-0.16999999999999993
Andrés Guardado,2009,6.92,23,6.833333333333333,-0.1299999999999999
Andrés Iniesta,2009,7.33,25,7.252222222222222,-0.3700000000000001
Andrés Palop,2009,6.85,36,6.925000000000001,-0.6600000000000001
Andy Dawson,2009,6.64,31,6.64,0.0
Andy Reid,2009,7.35,27,7.35,0.0
Andy Wilkinson,2009,6.86,25,6.6850000000000005,0.0600000000000005
Angelo Palombo,2009,7.16,28,6.9799999999999995,-0.1200000000000001
Anthar Yahia,2009,6.46,28,6.46,0.0
Anthony Gardner,2009,6.79,29,6.79,0.0
Anthony Le Tallec,2009,7.14,25,6.7799999999999985,-0.29000000000000004
