Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Total goals,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Bobby Allain,Dijon,27,Goalkeeper,1170,0,0,1,0,0.0,57.7,1.0,1,7.13,Ligue1,2018,1991,13,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Walter Benítez,Nice,26,Goalkeeper,3150,0,0,1,0,0.0,75.2,0.4,7,7.05,Ligue1,2018,1992,35,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gianluigi Buffon,Paris Saint-Germain,40,Goalkeeper,1530,0,0,0,0,0.0,90.0,0.1,1,6.88,Ligue1,2018,1978,17,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benjamin Lecomte,Montpellier,28,Goalkeeper,3330,0,0,1,0,0.0,63.9,0.6,3,6.86,Ligue1,2018,1990,37,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stéphane Ruffier,Saint-Etienne,32,Goalkeeper,3330,0,0,1,0,0.0,57.6,0.5,1,6.86,Ligue1,2018,1986,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Edouard Mendy,Reims,26,Goalkeeper,3420,0,0,3,0,0.0,58.0,0.6,5,6.85,Ligue1,2018,1992,38,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brice Samba,Caen,25,Goalkeeper,3420,0,0,1,0,0.0,58.4,0.3,3,6.81,Ligue1,2018,1993,38,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alphonse Areola,Paris Saint-Germain,25,Goalkeeper,1890,0,0,1,0,0.0,83.2,0.1,0,6.8,Ligue1,2018,1993,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ludovic Butelle,Angers,36,Goalkeeper,3240,0,0,1,1,0.0,56.8,0.2,4,6.8,Ligue1,2018,1982,36,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike Maignan,Lille,23,Goalkeeper,3420,0,0,1,0,0.0,57.1,0.3,2,6.79,Ligue1,2018,1995,38,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Paul Bernardoni,Nimes,22,Goalkeeper,3420,0,0,0,0,0.0,49.4,0.4,0,6.75,Ligue1,2018,1996,38,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benoit Costil,Bordeaux,31,Goalkeeper,3330,0,0,0,0,0.0,66.8,0.2,3,6.74,Ligue1,2018,1987,37,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Matz Sels,Strasbourg,27,Goalkeeper,3330,0,0,2,0,0.0,57.3,0.4,0,6.71,Ligue1,2018,1991,37,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ciprian Tatarusanu,Nantes,33,Goalkeeper,2391,0,0,1,0,0.0,68.5,0.3,0,6.71,Ligue1,2018,1985,27,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Lopes,Lyon,28,Goalkeeper,3060,0,0,0,0,0.0,77.6,0.3,1,6.68,Ligue1,2018,1990,34,0,0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Régis Gurtner,Amiens,32,Goalkeeper,3420,0,0,4,0,0.0,52.2,0.2,4,6.62,Ligue1,2018,1986,38,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Diego Benaglio,Monaco,35,Goalkeeper,2057,0,0,2,0,0.0,70.5,0.3,0,6.61,Ligue1,2018,1983,22,1,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Baptiste Reynet,Toulouse,28,Goalkeeper,2705,0,0,0,1,0.0,61.6,0.4,3,6.61,Ligue1,2018,1990,31,0,0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marc-Aurèle Caillard,Guingamp,25,Goalkeeper,1890,0,0,0,0,0.0,50.5,0.3,2,6.57,Ligue1,2018,1993,21,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tomas Koubek,Rennes,26,Goalkeeper,2925,0,0,1,0,0.0,63.5,0.2,2,6.53,Ligue1,2018,1992,32,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Danijel Subasic,Monaco,34,Goalkeeper,1144,0,0,1,0,0.0,61.5,0.4,0,6.5,Ligue1,2018,1984,14,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Steve Mandanda,Marseille,34,Goalkeeper,2737,0,0,1,1,0.0,66.3,0.3,1,6.48,Ligue1,2018,1984,31,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Karl-Johan Johnsson,Guingamp,29,Goalkeeper,1530,0,0,0,0,0.0,51.7,0.5,0,6.25,Ligue1,2018,1989,17,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rúnar Alex Rúnarsson,Dijon,23,Goalkeeper,2250,0,0,0,0,0.0,67.1,0.4,0,6.23,Ligue1,2018,1995,25,0,0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maxime Dupé,Nantes,26,Goalkeeper,939,0,0,1,0,0.0,53.4,0.2,0,6.19,Ligue1,2018,1992,10,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marc-André ter Stegen,Borussia M.Gladbach,21,Goalkeeper,3060,0,0,1,0,0.0,72.9,1.4,1,7.21,Bundesliga,2013,1992,34,0,0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ralf Fährmann,Schalke 04,25,Goalkeeper,1980,0,0,0,0,0.0,55.1,0.8,2,7.13,Bundesliga,2013,1988,22,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jens Grahl,Hoffenheim,25,Goalkeeper,990,0,0,1,0,0.0,56.2,0.7,0,7.08,Bundesliga,2013,1988,11,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Manuel Neuer,Bayern Munich,27,Goalkeeper,2746,0,0,0,0,0.0,88.3,0.5,0,7.05,Bundesliga,2013,1986,31,0,0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bernd Leno,Bayer Leverkusen,21,Goalkeeper,3060,0,0,1,0,0.0,69.5,0.8,1,7.02,Bundesliga,2013,1992,34,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Raphael Schäfer,Nuernberg,35,Goalkeeper,2926,0,0,3,0,0.0,70.5,0.8,3,7.01,Bundesliga,2013,1978,33,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loris Karius,Mainz 05,20,Goalkeeper,2070,0,0,0,0,0.0,51.1,0.6,0,6.93,Bundesliga,2013,1993,23,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marwin Hitz,Augsburg,26,Goalkeeper,1710,0,0,0,0,0.0,63.6,0.3,0,6.82,Bundesliga,2013,1987,19,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevin Trapp,Eintracht Frankfurt,23,Goalkeeper,3047,0,0,2,0,0.0,65.5,0.5,1,6.8,Bundesliga,2013,1990,34,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron-Robert Zieler,Hannover 96,24,Goalkeeper,3060,0,0,2,0,0.0,63.7,0.6,1,6.71,Bundesliga,2013,1989,34,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
