Name,Team,Age,Position,Minutes,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Neymar,Paris Saint-Germain,27,"Midfielder, Forward",1444,7,2,0,3.2,81.1,0.5,7,8.26,Ligue1,2018,1991,16,1,2.5,57.8,1.0,2.5,0.9,0.8,0.3,0.7,0.0,0.1,1.0,0.0,0
Kylian Mbappé,Paris Saint-Germain,20,"Midfielder, Forward",2344,7,5,1,4.3,79.4,0.1,9,8.0,Ligue1,2018,1998,24,5,1.6,26.9,0.2,0.6,0.1,0.3,0.2,0.7,0.0,0.1,0.2,0.0,0
Nicolas Pepe,Lille,24,"Midfielder, Forward",3332,11,1,0,3.1,79.1,1.2,13,7.62,Ligue1,2018,1994,37,1,1.8,31.6,0.4,0.7,0.3,0.7,0.3,0.6,0.0,0.2,0.7,0.0,0
Ángel Di María,Paris Saint-Germain,31,"Midfielder, Forward",2339,11,2,0,3.2,78.8,0.0,2,7.52,Ligue1,2018,1987,28,2,1.8,42.1,1.0,1.7,0.2,1.0,0.5,0.4,0.0,0.1,1.1,0.0,0
Edinson Cavani,Paris Saint-Germain,31,"Midfielder, Forward",1676,5,1,0,2.5,76.3,0.2,2,7.44,Ligue1,2018,1987,20,1,0.6,16.7,0.0,0.3,0.0,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0
Hatem Ben Arfa,Rennes,31,"Midfielder, Forward",2037,2,1,0,2.1,85.2,0.2,5,7.35,Ligue1,2018,1987,23,3,1.4,32.7,0.5,1.6,0.2,0.6,0.2,0.7,0.0,0.0,0.3,0.0,0
Memphis Depay,Lyon,25,"Midfielder, Forward",2737,10,5,0,3.1,80.1,0.3,3,7.34,Ligue1,2018,1993,29,7,3.1,34.8,2.0,1.4,0.2,0.3,0.3,1.0,0.0,0.0,0.4,0.1,0
Nabil Fekir,Lyon,25,"Midfielder, Forward",1991,7,5,0,3.1,85.2,0.5,5,7.31,Ligue1,2018,1993,24,5,1.8,34.1,1.0,1.2,0.1,1.8,0.2,1.5,0.0,0.1,0.9,0.0,0
Flavien Tait,Angers,26,"Midfielder, Forward",2995,7,2,0,2.4,78.8,0.3,4,7.3,Ligue1,2018,1992,34,2,2.1,36.4,1.4,1.4,0.2,1.6,0.8,0.9,0.0,0.3,1.0,0.1,0
Andy Delort,Montpellier,27,"Midfielder, Forward",3132,7,4,0,3.3,63.9,3.7,3,7.27,Ligue1,2018,1991,36,0,1.6,29.3,0.8,1.4,0.1,0.9,0.1,2.6,0.0,0.2,0.8,0.2,0
Wahbi Khazri,Saint-Etienne,28,"Midfielder, Forward",2825,6,10,1,2.9,74.5,0.5,6,7.25,Ligue1,2018,1990,32,0,2.2,27.4,1.6,1.8,0.0,1.3,0.3,1.7,0.0,0.2,1.0,0.1,0
Allan Saint-Maximin,Nice,21,"Midfielder, Forward",2914,3,2,0,2.2,76.0,0.9,5,7.21,Ligue1,2018,1997,34,0,1.7,25.4,0.7,1.0,0.1,0.4,0.1,0.4,0.0,0.1,0.4,0.0,0
Florian Thauvin,Marseille,26,"Midfielder, Forward",2625,8,5,1,3.1,76.9,0.6,5,7.19,Ligue1,2018,1992,30,3,1.4,33.5,1.0,1.3,0.2,1.3,0.2,0.9,0.0,0.1,0.6,0.0,0
Max-Alain Gradel,Toulouse,31,"Midfielder, Forward",3240,5,6,0,3.3,74.2,1.3,3,7.14,Ligue1,2018,1987,36,0,1.5,31.2,0.8,0.8,0.1,1.6,0.5,2.0,0.0,0.7,1.3,0.3,0
Lucas Ocampos,Marseille,24,"Midfielder, Forward",2715,7,11,0,1.8,78.0,1.1,1,7.14,Ligue1,2018,1994,31,3,0.9,23.9,0.5,0.6,0.1,2.4,0.9,1.5,0.1,0.7,1.4,0.1,0
Rémy Cabella,Saint-Etienne,29,"Midfielder, Forward",3000,4,4,1,2.4,86.5,0.5,4,7.13,Ligue1,2018,1989,34,0,1.7,58.1,0.5,1.8,0.1,2.6,0.6,1.0,0.0,0.1,1.7,0.0,0
Serhou Guirassy,Amiens,23,"Midfielder, Forward",1115,1,0,1,2.1,65.2,7.2,2,7.09,Ligue1,2018,1995,13,0,1.0,24.5,0.1,0.5,0.0,0.5,0.3,1.2,0.0,1.1,0.3,0.0,0
Florent Mollet,Montpellier,27,"Midfielder, Forward",2580,4,5,1,2.6,87.3,0.5,3,7.05,Ligue1,2018,1991,31,1,2.1,39.8,2.0,2.4,0.0,1.1,0.7,1.4,0.0,0.1,1.2,0.0,0
