name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
Mesut Ozil,Arsenal,88,CAM,72,76,68,76.33333333,84,75,76,76,70,77,84.83333333,80,84,79,84,89,93,86,84,70,90,87,0,27,54,24,22,16,19,56.5,54,52,64,56
Sergio Aguero,Manchester City,88,ST,89,92,86,86.66666667,91,90,84,83,87,85,74.83333333,70,82,72,63,79,83,89,86,90,89,88,0,27.4,68,24,13,20,12,71,57,80,74,73
Eden Hazard,Chelsea,88,LM,90,93,87,81.83333333,84,81,82,86,79,79,82.33333333,80,82,79,82,85,86,94,92,90,90,86,0,34.4,57,41,25,27,22,62.5,54,59,74,63
De Gea,Manchester United,87,GK,53,51,55,20.16666667,12,13,12,40,31,13,31.33333333,17,21,19,32,31,68,13,57,43,31,84,0,19.6,21,30,13,21,13,48.5,38,67,25,64
Petr Cech,Arsenal,86,GK,48.5,45,52,16.16666667,13,12,11,23,21,17,22.66666667,19,13,19,33,35,17,12,49,34,22,86,0,15.6,19,23,11,13,12,41.25,17,51,32,65
Kevin De Bruyne,Manchester City,86,RM,77,76,78,82.16666667,83,82,85,77,84,82,83.83333333,90,78,77,82,88,88,85,78,75,86,87,0,42.8,53,52,30,39,40,72.75,68,65,85,73
Thibaut Courtois,Chelsea,86,GK,49,46,52,19.83333333,13,14,17,27,36,12,25.16666667,14,19,11,31,32,44,13,61,45,23,81,0,14.6,13,15,11,18,16,49.75,23,68,38,70
Alexis Sanchez,Arsenal,86,LW,86,88,84,80.66666667,85,83,79,77,82,78,77.16666667,77,78,78,73,79,78,88,90,87,85,84,0,42.2,65,42,30,39,35,79,80,85,85,66
Cesc Fabregas,Chelsea,86,CM,63.5,65,62,78.66666667,80,76,78,80,77,81,86.5,86,77,81,91,92,92,81,65,77,87,83,0,63.2,74,54,62,64,62,64.5,45,68,81,64
David Silva,Manchester City,86,LM,73.5,79,68,77,83,72,79,77,71,80,85.83333333,85,83,77,85,92,93,87,93,88,91,84,0,35.4,54,41,23,30,29,60.25,51,66,68,56
Hugo Lloris,Tottenham Hotspur,85,GK,64,65,63,18,10,10,14,40,23,11,20.33333333,13,11,10,31,27,30,10,55,54,34,84,0,15.4,10,27,12,10,18,47.25,31,74,41,43
Santi Cazorla,Arsenal,85,CAM,71.5,77,66,78.5,82,77,82,80,78,72,84,85,86,78,84,86,85,86,85,91,87,85,0,55.8,58,55,56,62,48,66.75,64,71,72,60
Vincent Kompany,Manchester City,85,CB,68.5,68,69,54.33333333,41,45,55,63,76,46,60.66666667,61,61,52,66,65,59,64,63,42,68,84,0,85,84,78,86,90,87,77.5,81,73,68,88
Yaya Toure,Manchester City,85,CM,73.5,69,78,81,81,82,84,85,86,68,81,67,80,85,83,86,85,81,64,55,83,85,0,71.2,74,66,63,78,75,80.25,78,65,86,92
Diego Costa,Chelsea,85,ST,76.5,75,78,80.83333333,88,88,69,76,83,81,61.16666667,63,58,59,48,65,74,82,63,52,82,85,0,44.6,82,40,28,39,34,81.5,90,60,85,91
Bastian Schweinsteiger,Manchester United,85,CM,52,51,53,80.5,80,73,81,83,84,82,83.16666667,79,82,78,87,87,86,77,73,61,82,89,0,77.2,79,86,68,77,76,78.75,80,83,74,78
Wayne Rooney,Manchester United,85,ST,73,72,74,85.16666667,87,85,85,81,87,86,82.33333333,78,84,84,85,80,83,79,77,77,83,87,0,50.8,80,54,29,54,37,85.25,89,81,87,84
Laurent Koscielny,Arsenal,84,CB,78.5,79,78,41.66666667,31,32,47,51,54,35,53.83333333,54,22,49,67,75,56,62,70,62,67,78,0,84.8,84,85,83,87,85,81,92,86,73,73
Joe Hart,Manchester City,84,GK,59.5,59,60,33.16666667,14,14,19,68,65,19,25.5,14,17,13,35,32,42,23,50,32,20,80,0,15.2,10,25,14,14,13,47.25,28,72,28,61
Nicolas Otamendi,Manchester City,84,CB,74.5,74,75,54.5,49,53,56,44,69,56,52.66666667,52,50,39,66,64,45,41,71,62,60,79,0,85.4,86,86,83,86,86,83.75,85,90,78,82
Coutinho,Liverpool,84,CAM,83,89,77,74,76,70,80,64,79,75,80,74,84,72,78,85,87,87,91,91,88,75,0,34.8,47,30,24,38,35,55.75,35,59,73,56
John Terry,Chelsea,84,CB,33.5,33,34,47.5,38,46,33,52,61,55,51,42,44,31,64,66,59,45,44,46,63,85,0,86.8,90,86,87,87,84,79.5,85,80,67,86
Chris Smalling,Manchester United,83,CB,76.5,77,76,41.33333333,42,23,35,52,42,54,47.66666667,52,36,22,56,71,49,64,60,48,64,83,0,85.2,85,83,85,88,85,81.25,82,75,80,88
Dimitri Payet,West Ham United,83,LM,77,79,75,78.16666667,79,75,83,76,77,79,86.33333333,83,88,88,85,86,88,86,78,78,87,76,0,44.6,59,42,29,48,45,62.5,55,48,71,76
Willian,Chelsea,83,RM,89,92,86,70.5,78,75,80,60,71,59,80.33333333,75,80,85,77,82,83,87,87,82,86,81,0,48,29,55,43,62,51,59.25,44,46,86,61
Nemanja Matic,Chelsea,83,CDM,67,66,68,71.33333333,68,64,75,69,78,74,73.66666667,68,68,67,80,82,77,72,57,53,79,82,0,80.6,77,86,78,84,78,83.5,83,71,90,90
Per Mertesacker,Arsenal,83,CB,31,29,33,41.16666667,43,36,25,42,71,30,51.5,38,39,45,58,71,58,39,29,28,65,84,0,87.4,87,88,88,88,86,63.25,69,32,64,88
Daniel Sturridge,Liverpool,83,ST,88.5,88,89,81,84,85,83,75,83,76,67.16666667,62,62,68,62,75,74,84,78,64,81,82,0,29.2,73,22,15,24,12,69.75,60,74,72,73
Pedro,Chelsea,83,LM,82.5,86,79,74,84,80,73,66,71,70,74.5,78,81,57,74,83,74,84,84,82,85,85,0,39.4,55,49,30,32,31,64.25,56,67,78,56
Christian Eriksen,Tottenham Hotspur,83,CAM,76,78,74,73.66666667,76,75,77,67,78,69,84.5,84,85,87,82,84,85,84,77,79,85,81,0,42.2,52,45,38,54,22,59.75,44,57,87,51
Willian,Chelsea,83,RM,89,92,86,70.5,78,75,80,60,71,59,80.33333333,75,80,85,77,82,83,87,87,82,86,81,0,48,29,55,43,62,51,59.25,44,46,86,61
