name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
De Gea,Manchester United,91,GK,58,57,58,18,12,13,12,40,31,13,44,17,21,19,51,50,68,34,60,43,42,90,68,20,21,30,15,21,13,54,38,67,43,64
Kevin De Bruyne,Manchester City,91,CAM,77,78,76,86,87,82,91,79,91,82,92,93,85,83,91,92,94,87,79,77,91,91,88,61,55,61,68,58,51,78,76,63,90,75
Eden Hazard,Chelsea,91,LW,91,94,88,83,87,84,80,86,82,80,86,81,83,79,83,89,89,94,95,94,94,90,91,35,61,41,34,27,22,67,54,56,83,66
N'Golo Kante,Chelsea,89,CDM,80,82,78,66,71,65,69,54,71,56,77,68,49,49,81,86,79,81,82,92,80,93,85,87,54,92,90,91,85,84,90,77,96,76
Harry Kane,Tottenham Hotspur,89,ST,70,68,72,90,93,94,85,90,88,82,79,75,78,68,82,80,80,80,71,71,84,91,89,47,85,35,56,36,38,83,76,78,89,84
David Silva,Manchester City,89,CAM,66,69,64,75,88,75,74,75,72,82,88,84,82,77,85,92,92,91,92,90,94,88,92,51,54,50,59,51,29,60,57,64,78,52
Sergio Aguero,Manchester City,89,ST,84,88,80,89,92,93,82,83,88,85,76,70,82,72,63,81,83,89,86,91,89,89,90,28,74,24,30,20,12,73,65,81,76,73
Mohamed Salah,Liverpool,88,RW,92,94,91,84,90,90,83,61,77,73,79,78,83,60,72,82,82,89,91,88,88,91,91,45,59,55,38,43,41,72,63,68,84,70
Paul Pogba,Manchester United,88,CM,75,71,79,79,82,73,81,81,90,85,86,80,84,82,90,87,87,85,74,64,90,81,87,69,73,68,67,70,68,86,78,85,88,89
Christian Eriksen,Tottenham Hotspur,88,CAM,74,75,73,82,83,80,89,67,84,77,90,88,86,87,88,91,91,86,79,81,91,88,88,53,52,56,59,57,22,64,46,50,92,58
Pierre-Emerick Aubameyang,Arsenal,88,ST,94,93,95,84,90,88,79,76,82,86,75,77,79,74,64,77,77,80,76,70,82,87,84,37,79,48,27,25,36,70,43,79,76,76
Hugo Lloris,Tottenham Hotspur,88,GK,63,65,62,15,10,10,14,40,23,11,35,13,11,10,50,50,30,28,55,54,34,85,65,20,10,27,29,10,18,42,31,74,41,43
Romelu Lukaku,Manchester United,87,ST,84,77,90,84,89,88,74,78,88,79,76,78,74,66,73,77,76,74,60,46,72,86,83,35,87,27,30,30,30,87,75,71,84,94
Jan Vertonghen,Tottenham Hotspur,87,CB,63,61,65,63,60,56,66,66,80,52,73,68,58,73,74,79,68,72,61,60,76,84,83,88,80,89,90,87,88,79,84,85,75,79
Leroy Sane,Manchester City,86,LW,95,93,96,81,84,81,78,71,86,85,78,83,82,68,64,79,82,86,88,81,85,81,78,38,72,34,36,32,35,70,61,64,79,70
Ederson,Manchester City,86,GK,63,64,63,21,20,14,18,17,42,18,47,20,15,20,55,56,67,35,60,48,37,86,70,20,14,25,28,15,8,54,35,58,41,68
Sadio Mane,Liverpool,86,LW,94,95,93,80,87,84,74,71,82,71,76,73,74,64,71,79,82,87,91,86,86,86,80,42,62,35,42,42,38,73,73,75,84,67
Virgil van Dijk,Liverpool,86,CB,71,67,75,60,41,52,64,62,81,45,67,53,60,70,78,76,59,70,61,49,73,84,83,86,82,86,86,88,83,84,81,85,71,92
Raheem Sterling,Manchester City,86,RW,93,95,92,75,86,77,73,69,73,66,77,77,70,61,69,84,77,88,93,93,87,86,76,47,38,30,47,58,54,56,38,57,78,52
Roberto Firmino,Liverpool,86,CF,77,78,77,83,87,87,76,72,81,81,80,72,80,65,75,86,85,86,80,81,88,86,87,61,77,58,60,64,42,78,73,81,90,74
Nicolas Otamendi,Manchester City,86,CB,60,59,61,57,51,54,56,45,69,57,63,52,50,39,72,75,53,60,64,62,70,79,84,86,85,86,85,87,86,80,91,92,67,80
Alexis Sanchez,Manchester United,86,LW,82,86,79,83,84,83,83,77,84,83,79,80,79,78,75,77,83,88,91,87,86,87,86,45,73,50,38,44,35,77,79,87,83,72
Azpilicueta,Chelsea,86,RB,76,76,76,55,62,46,60,66,68,51,78,81,68,58,80,81,74,73,72,73,77,88,78,87,76,89,88,90,86,77,82,76,87,71
Mesut Ozil ,Arsenal,86,CAM,70,72,69,73,83,73,75,67,70,80,86,83,84,77,82,89,91,85,79,70,90,84,78,24,54,24,24,16,19,58,48,48,69,57
Fernandinho,Manchester City,86,CDM,67,68,67,74,70,69,78,61,83,74,78,68,70,72,81,85,75,79,72,78,82,86,79,83,63,88,85,85,80,79,87,76,79,76
Toby Alderweireld,Tottenham Hotspur,85,CB,62,59,65,57,58,45,65,58,78,38,72,64,63,69,82,78,67,65,60,50,72,86,81,88,82,85,90,91,85,78,80,84,74,79
Nemanja Matic,Manchester United,85,CDM,56,52,59,71,69,64,75,64,83,73,78,71,72,67,83,84,75,76,52,50,79,84,85,83,74,87,84,84,75,83,80,67,84,85
Vincent Kompany,Manchester City,85,CB,56,52,59,54,41,45,55,63,75,46,65,61,61,52,66,73,59,65,57,41,70,87,81,85,84,82,87,85,84,81,87,72,66,87
Fabinho,Liverpool,85,CDM,71,69,72,69,70,66,65,91,78,47,78,79,71,53,78,83,76,77,69,67,82,83,84,84,75,84,83,88,85,84,85,75,93,79
Riyad Mahrez,Manchester City,85,RW,85,88,83,79,80,80,81,73,79,72,81,81,84,78,76,82,81,90,93,88,89,77,86,37,48,38,44,31,18,59,48,61,76,55
Alisson,Liverpool,85,GK,49,54,45,16,13,13,14,23,21,20,41,17,19,18,44,45,66,33,40,37,30,83,65,16,19,11,15,19,16,55,27,52,32,78
Ilkay Gundogan,Manchester City,84,CM,68,67,68,74,79,72,73,76,77,75,83,74,81,74,83,88,86,84,78,78,86,85,87,69,50,77,73,68,64,70,70,61,69,72
Sokratis,Arsenal,84,CB,69,64,73,51,49,44,48,24,77,46,50,47,29,35,51,60,45,60,60,64,58,81,82,84,85,77,85,87,85,82,88,86,69,86
Willian,Chelsea,84,RW,88,91,86,77,80,77,81,70,79,59,80,76,82,83,77,80,83,86,89,79,84,82,79,49,31,55,43,57,51,62,44,41,85,60
Bernardo Silva,Manchester City,84,RW,78,83,74,73,83,75,72,68,70,69,83,85,83,67,79,85,84,91,90,88,91,82,85,46,51,49,49,44,35,58,58,50,78,48
Alexandre Lacazette,Arsenal,84,ST,83,81,84,83,86,87,75,84,83,81,72,64,74,71,59,80,76,84,85,85,83,85,85,40,73,42,29,42,30,74,70,76,79,73
Kasper Schmeichel,Leicester City,84,GK,60,60,60,18,13,12,14,26,36,15,39,18,13,15,46,44,59,31,62,47,40,81,67,15,16,20,14,14,13,51,35,60,34,64
Jorginho,Chelsea,84,CM,72,75,69,64,72,57,62,84,71,71,84,75,75,76,87,89,87,82,80,73,85,83,79,71,56,78,63,78,70,71,79,58,79,66
Heung Min Son,Tottenham Hotspur,84,LM,86,87,85,85,85,85,88,71,86,79,76,78,81,70,64,79,80,85,80,76,85,84,81,42,65,39,48,34,33,68,60,63,85,63
Davinson Sanchez,Tottenham Hotspur,84,CB,76,72,79,45,34,40,44,44,66,28,57,36,30,27,67,77,49,66,60,55,73,80,75,84,80,82,84,85,88,82,87,73,76,83
Bernd Leno,Arsenal,84,GK,49,46,52,13,7,9,14,23,23,10,31,9,9,8,33,37,53,26,52,44,22,80,65,20,13,22,27,15,18,54,28,73,43,68
